Correct Form	Predicted Form	Surprisal
gravēdinem	grāvēdinēs	22.606688152280185
gravidam	grāvidās	15.785540796157875
gravitātem	grāvitātēs	23.227837974221984
gravitātiōnem	grāvitātiōnēs	23.970586846435253
gravitūdinem	grāvitūdinēs	24.557201038658604
gremium	gremia	8.093315177400655
gregem	grecēs	16.567197840890003
naepōrem	naepōrēs	17.371426293626428
grōmam	grōmata	8.93434071943011
grossitūdinem	grōssitūdinēs	26.572692189100053
grūmulum	grūmulōs	22.59783711633372
grūmum	grūmōs	16.51571632884952
gruem	grūrēs	15.114920547588554
gryllum	gryllōs	22.613396838909466
grȳphum	gryphōs	24.65192573094646
grypem	grypēs	18.607565787902786
gubernāculum	gubernācula	12.767322021703876
gubernātiōnem	gubernātiōnēs	21.194438688069567
gubernātrīcem	gubernātrīcēs	27.24239519999901
gulam	gulās	11.956661563293892
gurdum	gurdōs	13.783879264083225
gurgitem	gurgitēs	22.575876278686337
gurguliōnem	gurguliōnēs	20.818114884066745
gurgustium	gurgustia	12.144142686083796
gurum	gurōs	7.670752512611216
gustātiōnem	gustātiōnēs	21.125027978485832
guttam	guttās	10.507444604463672
guttulam	guttulās	16.34730893060805
guttur	gutturēs	0.07986032182816416
guttum	guttōs	16.523600865750268
gutum	gutōs	12.447194640990347
gymnadem	gȳmnadēs	25.32345060678199
gymnasiarchum	gymnasīārchōs	28.506388303150743
gymnasium	gȳmnasia	11.147278565913439
gynaecēum	gȳnaecēa	9.529220421367427
gynaecīum	gȳnaecīa	8.989528740325113
gȳrātiōnem	gȳratiōnēs	22.402363316185074
gȳrum	gȳrōs	16.130036670248955
habēnam	habēnās	12.751608271453733
habēnulam	habēnulās	16.35178256412837
habitāculum	habitācula	9.799588057903748
habitātiōnem	habitātiōnēs	20.464041355458903
habitātiunculam	habitātiunculās	21.43921234249501
habitātōrem	habitātōrēs	16.848261001312494
habitātrīcem	habitātrīcēs	27.29622207097782
habitiōnem	habitiōnēs	18.08861755014732
habitūdinem	habitūdinēs	22.88642828850061
habrotonum	habrotona	7.482615059827367
haecceitātem	haecceitātēs	13.603192531001696
haedillum	haedillōs	16.64558498869883
haedulum	haedulōs	14.661287394214014
haedum	haedōs	11.14193784724921
haematītēn	haematītās	8.659151463412854
haemēsem	haemēsēs	22.156464927986235
haerēditātem	haereditātēs	15.677160159557388
haerēdem	haerēdēs	22.7699093822157
haereseum	haereseōs	15.89411271244171
haeresem	haeresēs	16.837814234328107
haesitantiam	haesitantiās	12.15042478457326
haesitātiōnem	haesitātiōnēs	17.080664250588597
hafnium	hafnia	10.778561311817612
hagiographum	hagiographōs	20.80018566965009
haimam	haimata	6.764178474608343
nomadem	nomadēs	23.959237576236774
halcyonem	halcyōnēs	25.367089167702943
halebardam	halebardās	11.73650637870196
halipleumonem	halipleumona	28.644402956939302
hālitum	halitūs	11.850872473201889
hallebardam	hallebardās	13.983606512922506
hallum	hallōs	12.778320535100647
hamam	hamās	7.43590341705567
hamaxostichum	hamaxostichōs	21.195813284393807
hāmiōtam	hamiōtās	15.903580225720361
hammītidem	hammītidēs	24.415693094255403
numidam	nūmidās	12.941952337525436
hāmum	hamōs	15.276842463696084
haram	harās	9.004726380575448
harēnam	harēnās	12.872561601936468
harēnāriam	harēnāriās	13.78349057433661
harēnārium	harēnāria	7.052440657367697
harēnifodīnam	harēnifodīnās	18.85341640857223
hariolam	hariolās	9.99983338619495
hariolum	hariolōs	18.46567533646885
harmoniam	harmoniās	13.280557314865291
harpagōnem	harpagōnēs	21.466001356064226
harpastum	harpasta	14.732479898382735
harpēn	harpēs	9.81043644741294
harundinētum	harundinēta	14.584968913040939
harundinem	harundinēs	16.880161457054783
haruspicem	haruspēs	28.926304446693393
haruspicium	haruspicia	9.216432219938724
hassium	hassia	8.192128807015251
hastae	hastās	3.3791106056887656
hastīle	hastilās	14.830902009620331
haustōrem	haustōrēs	19.86177241695259
haustrum	haustra	12.358124422280525
hebdomadam	hebdomadās	15.909270006945007
hebdomadārium	hebdomadāriōs	18.57186333232312
hebdomadem	hebdomadēs	19.75785203995474
hebenum	hebenōs	13.82233731172164
hebetātiōnem	hebetātiōnēs	19.705605136328813
hebetūdinem	hebetūdinēs	23.223103105279733
hecatombēn	hecatomba	20.806075119326124
hederam	hederās	8.99881395122793
hedum	hedōs	12.289563803875353
helcium	helcia	5.3598428462282754
hēliotropium	heliotropia	11.98376989600365
hellebardam	hellebardās	14.467803105056646
helluātiōnem	helluātiōnēs	22.308303502515628
helluōnem	helluōnēs	20.0484925188357
helopem	helopēs	16.56201896094717
hēmīnam	hemīnās	12.32446528033688
hēmisphaerium	hemisphaeria	8.57760483429638
hēmistichium	hemistichia	9.74550866132995
hemōnem	hemōnēs	13.408178941128426
hendecasyllabum	hendecasyllabōs	9.525990307403845
hēpatītēn	hepatītās	12.001220398989972
hēphaestītidem	hephaestītidēs	28.9200683428935
heram	herās	9.403686324196315
herbārium	herbāria	9.689049491335027
herbārium	herbāriōs	18.105553618075646
hērēditātem	hereditātēs	16.755113165661896
hērēdem	herēdēs	19.98544878575194
heresem	heresēs	14.399370772895054
herniam	herniās	7.797847427205852
herōdium	herōdiōs	13.633758269690588
hērōs	herōs	2.782789234268421
heterogeniam	heterogeniās	17.540736859373283
hexagōnum	hexagōna	8.47607600572519
hexametrum	hexametrōs	16.530838251579553
hexadem	hexadēs	23.053969020023942
hiātum	hiātūs	11.463222424565174
hībernāculum	hibernācula	15.134395041211974
hībernum	hiberna	9.325870189873967
hibiscum	hibisca	8.970359296064998
hibīcem	hibīcēs	18.401257171994075
hibridam	hibridās	9.56786247320997
hiemem	hiemēs	17.466495990367548
hiemem	hiemēs	13.389133238648355
hierācītidem	hieracīdidēs	27.64150762752979
hierarchiam	hierarchiās	14.183466280173889
parcam	parcās	8.985050425777445
hīlum	hīla	10.26664795371471
hīlum	hīlōs	9.21491860068636
parthum	parthōs	22.690581140912855
hinnum	hinnōs	8.472039145126473
hīnsidiam	hinsidiās	9.176698031253181
hinulum	hinulōs	15.341840182503802
hippeum	hippeōs	15.134692118386738
hippocampum	hippocampōs	23.840067569864914
hippodromon	hippodromō	11.670559034406324
hippophobadem	hippophōdēs	46.002163086406654
hippopotamum	hippopotamōs	22.375648020573863
hippūrum	hippūrōs	16.05805022517052
hīram	hirās	9.403394761684467
hircum	hircōs	6.999661120004021
hirneam	hirneās	9.531766815460287
hirūdinem	hirūdinēs	15.877753625136393
hirundinem	hirundinēs	18.01980710132193
historiam	historiās	12.500889375229235
historicitātem	historicītātēs	18.792420861831488
histriōnem	histriōnēs	23.117388884906177
histrīcem	histrīcēs	22.357521260775684
hoedum	hoedōs	11.401486688409932
holmium	holmia	8.793602645266219
holocaustōma	holocaustōmata	0.3188810558640398
holocaustosem	holocaustōsētēs	20.39670481703797
holocaustum	holocausta	14.178917483717669
holocautōma	holocautōmata	0.40911816044535954
holus	holōs	11.819419155275682
homicīdam	homicīdās	12.625432866921983
homicīdium	homicīdia	8.37203917248371
homīliam	homiliās	13.50107354271131
homoeoteleuton	homoeoteleuta	10.519654729045214
homogeniam	homogeniās	16.42690300355207
homullum	homullōs	17.32925280812742
homunciōnem	homunciōnēs	19.865088290312997
homunculum	homunculōs	17.14327865701489
honestātem	honestātēs	15.898077563586412
honōrificābilitūdinitātem	honōrifabinitūdinitūdinitūd	29.11261363582298
honōrificentiam	honōricentiās	38.74428375461639
honōrem	honōrēs	16.670690223560086
hoplomachum	hoplomachōs	19.56661420893397
hōrā	horās	1.1081798435016026
hordeum	hordea	6.8993570744933095
horizonta	horizontēs	5.572091777117748
horreum	horreō	5.659002766158665
horripilātiōnem	horripilātiōnēs	20.819121990932217
horrōrem	horrōrēs	17.258067153496086
hortātiōnem	hortātiōnēs	18.575458950015673
hortātōrem	hortātōrēs	15.86196687141637
hortulānum	hortulānōs	13.010882740774832
hortulum	hortulōs	14.123960904347769
hospicium	hospicia	6.420046134095173
hospitāle	hospitālia	6.077746773429681
hospiticīdam	hospiticīdās	18.563705678112456
hostiam	hostiās	11.09575792629039
hostīlitātem	hostilitātēs	17.156557422757032
hostem	hostēdēs	10.119748648721725
hūmānitātem	humānitātēs	14.284237373940414
humerāle	humerālia	7.457342028710627
humerum	humerōs	14.153092063197619
humiditātem	humiditātēs	12.751967346315723
humiliātiōnem	humiliātiōnēs	20.129683775059675
humilitātem	humilitātēs	11.391293093189233
hūmōrem	humōrēs	18.650293896709627
pīsīdam	pisidās	13.999714819517976
humum	humōs	10.987644008606367
hyacinthum	hyacinthōs	20.53510352821104
hyaenam	hyaenās	9.49040954920929
hyalum	hyalōs	18.11950348195387
hybridam	hybridās	9.863536895558354
hydram	hydrās	9.341692904068623
hydrargyrum	hydrargyrōs	17.662496979291973
hydraulum	hydraulōs	18.55235088367772
hydriam	hydriās	8.915265021903906
hydrodendro	hydrodendrēs	9.36288257647766
hydrogenum	hydrogena	6.517752067709807
hydromel	hydromelita	1.2731741716925171
hydromeli	hydromelita	1.271919210521446
hydrōpismum	hydropismō	19.277722227794584
