Correct Form	Predicted Form	Surprisal
gravitációkhoz	gravitációknól	15.420484641350754	1.9163464861652528
gravitációsakhoz	gravitációsaknól	14.209366037661653	1.8979595260228734
gráfokhoz	gráfhoz	12.562141824475475	0.30584309681398736
gránitokhoz	gránitoknal	11.493642035531593	2.966115230354262
gránitokhoz	gránitoknal	11.493642035531593	2.966115230354262
gránátalmákhoz	gránátalmáknol	15.678377120448204	2.6527471064309793
napokhoz	napoknól	10.521093807634315	2.0063091993069975
grófokhoz	grófhoz	9.230974666107045	0.7496929795473761
grófkisasszonyokhoz	grófkisasszonyhoz	12.206412218607397	0.23158393064829852
gubacsdarazsakhoz	gubacsdarazshoz	19.330546254514047	1.0110346076107817
gubókhoz	gubóhoz	12.907887291486077	0.9526948054435707
gulyákhoz	gulyáknól	11.303730254014226	1.9439901339464996
gulyásokhoz	gulyáshoz	13.46639645284813	0.7205110788308957
gumicsizmákhoz	gumicsizmához	14.703896446406361	0.5920494506917748
gumicsónakokhoz	gumicsónakoknal	10.783701649836075	2.9155553495202184
gumikesztyűkhöz	gumikesztyűhöz	34.48299854963989	0.08050594728410942
gurukhoz	guruknól	12.558496580550127	1.7635154332710954
gusztustalanokhoz	gusztustalanoknól	12.009702205050417	1.7541201628664567
gutákhoz	gutáknól	14.066325174457234	2.2150680702925456
gyakoriakhoz	gyakoriaknól	12.544490489684904	2.5402084218203527
gyakoribbakhoz	gyakoribbaknól	13.979393712291312	2.090764100928027
gyakoriságokhoz	gyakoriságoknól	14.011706451557984	1.8386866030850797
gyakorlatokhoz	gyakorlathoz	14.535234133521953	0.683593614054189
gyakorlásokhoz	gyakorlásoknól	13.06990859211328	1.6645327257338067
gyakorlókhoz	gyakorlóknól	14.425280283647226	1.968790476768845
gyakorlókhoz	gyakorlóknól	14.425280283647226	1.968790476768845
gyalogokhoz	gyalogoknal	11.024576726878877	2.567543182100053
gyalogosokhoz	gyalogosoknól	14.847197945586231	2.228353755250282
gyalogságokhoz	gyalogságoknól	13.573506364657078	1.5993038084707223
