Correct Form	Predicted Form	Surprisal
gravitációként	gravitációkként	10.337238112546402	0.11854986557773373
gravitációsként	gravitációsokként	11.061432504402546	0.27964997261915414
gráfként	gráfokként	13.074489745340543	0.06049407578393584
gránitként	gránitokként	18.892538092302857	0.021414716451545246
gránitként	gránitokként	18.892538092302857	0.021414716451545246
gránátalmaként	gránátalmákként	20.683839953955612	0.10086866396886762
napként	napokként	15.101430853079364	0.1362878764703055
grófként	grófokként	13.612143672595266	0.08622938743792474
grófkisasszonyként	grófkisasszonyakként	20.589764816948446	1.0729078807926271
gubacsdarázsként	gubacsdarázsokként	13.646540111527429	0.7080571318656439
gubóként	gubókként	12.851686575622807	0.11125987634113699
gulyaként	gulyákként	27.854355359882902	0.0478844259523612
gulyásként	gulyásokként	13.408228912401682	0.21106452800813713
gumicsizmaként	gumicsizmákként	20.925473761249123	0.12758224047047406
gumicsónakként	gumicsónakokként	10.97427875766789	0.10340945323969208
gumikesztyűként	gumikesztyűekként	15.14066150416238	0.18301044589225057
guruként	gurukként	12.422295453256083	0.09720093500436633
gusztustalanként	gusztustalanokként	12.520673632827311	0.09002725324535277
gutaként	gutákként	27.381086903504183	0.08334515241949703
gyakoriként	gyakoriakként	15.674231761455303	0.15217548707005335
gyakoribbként	gyakoribbakként	20.228118984028697	0.06373486950906226
gyakoriságként	gyakoriságokként	20.3757229471521	0.0973857504723128
gyakorlatként	gyakorlatokként	19.09292270195874	0.055939023517566966
gyakorlataként	gyakorlatákként	18.350552803312894	0.34454766209819354
gyakorlásként	gyakorlásokként	16.126315102934313	0.12985698441480054
gyakorlásaként	gyakorlásákként	13.922366537211929	0.5384933218592778
gyakorlóként	gyakorlókként	13.004043681023177	0.09373181738192216
gyakorlóként	gyakorlókként	13.004043681023177	0.09373181738192216
gyalogként	gyalogokként	19.25525503742392	0.15852675210044254
gyalogjaimként	gyalogjaimokként	17.577170187723823	0.27214919462858234
gyalogodként	gyalogodokként	15.720164887272404	0.16761152192520967
gyalogomként	gyalogomokként	18.7483198493901	0.14953030074684648
gyalogosként	gyalogosokként	16.885255241650157	0.24129378583529615
gyalogságként	gyalogságokként	21.151962692121742	0.15343850079807453
gyalogátkelőhelyként	gyalogátkelőhelyekként	16.256922953092726	0.3069826551072765
gyaluként	gyalukként	11.780149493570207	0.23169398587197065
gyantaként	gyantákként	20.082102597574703	0.027817431328003295
gyanúként	gyanúkként	13.344004443468293	0.7497813338122796
gyanújaként	gyanújákként	17.257285945641343	0.06576491752639413
gyanúsítottként	gyanúsítottakként	11.735121878096834	0.4898364820983261
gyapotként	gyapotokként	21.384856606600806	0.05185126297874376
gyarmatként	gyarmatokként	17.482973798185412	0.0195921104750596
gyarmatbirodalomként	gyarmatbirodalomokként	14.641089613149234	0.1552795289971982
gyarmatosításként	gyarmatosításokként	14.839048654983344	0.20955978694109945
gyatraként	gyatrákként	21.830231203246512	0.037223900108074304
gyatrábbként	gyatrábbakként	20.793383145093685	0.05221293711292674
gyaurként	gyaurokként	17.996266839443706	0.0997556381917093
gyengeként	gyengékként	14.423890174075495	0.10533015968394466
gyengeként	gyengékként	14.423890174075495	0.10533015968394466
gyengébbként	gyengébbekként	22.271954103955068	0.01964600525025162
gyengédebbként	gyengédebbekként	24.328904615482315	0.024642532982397825
gyengédségként	gyengédségekként	18.013753470702795	0.07502531589125283
gyengénlátóként	gyengénlátókként	14.44482243884704	0.2054338224697858
gyepként	gyepekként	13.693790709221503	0.06319424744287971
gyerekként	gyerekekként	1.6424987070495263	0.8408319918089546
gyerekcipőként	gyerekcipőkként	8.014702273765579	0.1631343819317408
gyerekeként	gyerekékként	19.226863084797515	0.32712010326213203
gyerekjátékként	gyerekjátékokként	5.728495358132932	0.9941267371541471
gyereknyelvként	gyereknyelvekként	21.426305034197867	0.14969549908710178
gyermekként	gyermekekként	11.03195300711377	0.08477728845537058
gyermekcipőként	gyermekcipőkként	8.013895412848797	1.0272139063017676
gyermekcseként	gyermekcekként	11.850502358443919	1.3628062937495997
gyermekeként	gyermekékként	16.19052996825485	0.05006258720823098
gyermekeiként	gyermekeiekként	5.7373061720936676	0.2883153904622304
gyermekgyógyászként	gyermekgyógyászekként	9.136319044650008	0.9498837419014308
gyermekgyógyászatként	gyermekgyógyászatokként	9.644110254572297	0.3366282203569426
gyermekiként	gyermekiekként	13.193700402545801	0.3750882183048816
gyermekkorként	gyermekkorokként	18.099278738583962	0.07159591301751789
gyermekkoriként	gyermekkoriakként	19.750115884278785	0.07353513493580977
gyermeknyelvként	gyermeknyelvekként	23.564473881524464	0.21388199966895627
gyermekorvosként	gyermekorvosokként	10.059080643201014	0.5053349617519416
gyermekotthonként	gyermekotthonokként	12.515881440631347	0.08932210673810914
gyermekruházatként	gyermekruházatokként	15.086371265548223	0.05825010804255726
gyermekvédelemként	gyermekvédelemekként	14.903581582439074	0.3335668885483756
gyermekvédelmiként	gyermekvédelmiekként	11.792636426536774	0.5465956198968343
gyermekülésként	gyermekülésekként	13.164513067247753	0.13784276559454156
gyertyaként	gyertyákként	21.932354531279998	0.1048369979544077
gyertyatartóként	gyertyatartókként	12.277959755025222	0.17625876642705407
