Correct Form	Predicted Form	Surprisal
gravitációkban	gravitációban	6.541830146863049	0.12405223324049075
gravitációsakban	gravitációsakban	1.0901030515701677	1.0901030515701677
gráfokban	gráfban	4.640597367542796	0.10972810338716954
gránitokban	gránitban	3.092884706244604	0.2548327161043744
gránitokban	gránitban	3.092884706244604	0.2548327161043744
gránátalmákban	gránátalmában	4.30572451230546	0.14473114085558336
napokban	napban	6.379991138997866	0.04551246896517114
grófokban	grófban	2.884675419598352	0.26351601374335587
grófkisasszonyokban	grófkisasszonyban	2.0467257025302388	1.0792158614494838
gubacsdarazsakban	gubacsdarázsban	8.387531330008642	0.6200204207707429
gubókban	gubókban	0.3952731685421895	0.3952731685421895
gulyákban	gulyában	5.423824946177774	0.07754237834888045
gulyásokban	gulyásban	5.676843638146238	0.21619741545146098
gumicsizmákban	gumicsizmában	2.3289304211903072	0.42648193116110633
gumicsónakokban	gumicsónakokban	0.39062129771264154	0.39062129771264154
gumikesztyűkben	gumikesztyűkben	1.4792499627001234	1.4792499627001234
gurukban	gurukban	0.9090144792862702	0.9090144792862702
gusztustalanokban	gusztustalanban	5.800913667143732	0.10007578458794342
gutákban	gutában	2.7444167382345768	0.3124789188877912
gyakoriakban	gyakoriban	4.29841517857858	0.17766652887803502
gyakoribbakban	gyakoribbakban	0.2660505205858499	0.2660505205858499
gyakoriságokban	gyakoriságban	6.734316297879559	0.06355755830736598
gyakorlatokban	gyakorlatban	2.164064753073035	0.4655568530433811
gyakorlásokban	gyakorlásban	3.0403085744328564	0.2778714506275719
gyakorlókban	gyakorlóban	3.356671445799293	0.2567296909110155
gyakorlókban	gyakorlóban	3.356671445799293	0.2567296909110155
gyalogokban	gyalogban	8.542951254406944	0.028539434730191715
gyalogosokban	gyalogosban	4.572508634795668	0.18102566999732517
gyalogságokban	gyalogságokban	0.8963326550365309	0.8963326550365309
gyalogátkelőhelyekben	gyalogátkelőhelyelyekben	2.7457918032596353	4.711785442341352
gyalukban	gyaluban	6.591253310936736	0.03494966175640002
gyantákban	gyantában	3.6645658800334786	0.15588003697484965
gyanúkban	gyanúban	6.3294703333231155	0.41370833889232017
gyanúsítottakban	gyanúsítottban	2.0232488488109084	1.0408139721257612
gyapotokban	gyapotban	3.6544927729992196	0.15948279385338537
gyarmatokban	gyarmatokban	0.2979056536059943	0.2979056536059943
gyarmatbirodalmakban	gyarmatbirodalmakban	1.4056869037958677	1.4056869037958677
gyarmatosításokban	gyarmatosításban	1.3489936451796893	0.9325796325128977
gyatrákban	gyatrában	2.205976198616554	0.43308168039948214
gyatrábbakban	gyatrábban	7.077836447635491	0.03209421900828602
gyaurokban	gyaurokban	0.7216172734333668	0.7216172734333668
gyengékben	gyengékben	0.814270474256773	0.814270474256773
gyengékben	gyengékben	0.814270474256773	0.814270474256773
gyengébbekben	gyengébben	10.673423983594148	0.031878516748292895
gyengédebbekben	gyengédebben	9.790692710150324	0.06495023352908902
gyengédségekben	gyengédségekben	1.0025077640202653	1.0025077640202653
gyengénlátókban	gyengénlátóban	2.3451671619186527	0.6028561724306201
gyepekben	gyepekben	0.8536229484016076	0.8536229484016076
gyerekekben	gyerekekben	0.8160730624658754	0.8160730624658754
gyerekcipőkben	gyerekcipőben	3.4927361823356478	0.3692950528784422
gyerekjátékokban	gyerekjátékban	3.390447731129825	0.3932158234529197
gyereknyelvekben	gyereknyelvekben	1.0106478137554404	1.0106478137554404
gyermekekben	gyermekekben	0.7338310152626946	0.7338310152626946
gyermekcipőkben	gyermekcipőben	4.042557750679407	0.24438015612759045
gyermekcsékben	gyermekcsékben	1.5726860906916045	1.5726860906916045
gyermekgyógyászokban	gyermekgyógyászokban	0.42555749545863364	0.42555749545863364
gyermekgyógyászatokban	gyermekgyógyászatban	2.3229288865695707	1.9436568885284942
gyermekiekben	gyermekiekben	1.085643684506067	1.085643684506067
gyermekkorokban	gyermekkorokban	0.29868183883081656	0.29868183883081656
gyermekkoriakban	gyermekkoriakban	0.3455614289669029	0.3455614289669029
gyermeknyelvekben	gyermeknyelvekben	1.041396830787562	1.041396830787562
gyermekorvosokban	gyermekorvosban	6.7200915525027085	0.13055610249284655
gyermekotthonokban	gyermekotthonban	5.346152696984063	0.17551419389747025
gyermekruházatokban	gyermekruházatban	3.6002159268100513	0.37652376799087506
gyermekvédelmekben	gyermekvédelemben	8.153650387583184	0.21101804946374614
gyermekvédelmiekben	gyermekvédelmiekben	1.4346989367768401	1.4346989367768401
gyermekülésekben	gyermekülésekben	0.915684000665351	0.915684000665351
gyertyákban	gyertyában	3.1574436682822125	0.22740889625492855
gyertyatartókban	gyertyatartóban	3.808152088880888	0.21883049012103584
gyilkosakban	gyilkosban	5.117403995505811	0.3126933412549988
gyilkosságokban	gyilkosságbakban	3.00231774931126	0.8032885291231651
gyomokban	gyomban	4.321531006862642	0.11715360134257935
gyomrokban	gyomorban	13.606761727391131	0.10402972602969385
gyomorhurutokban	gyomorhurutban	4.371122223423299	0.10660110023673042
gyomorkeserűkben	gyomorkeserűkben	2.476538211612933	2.476538211612933
gyomorrontásokban	gyomorrontásokban	0.39901957005713484	0.39901957005713484
gyomorégésekben	gyomorégésekben	1.15585614936208	1.15585614936208
gyorsakban	gyorsban	5.041344939119881	0.14165891640004702
gyorsabbakban	gyorsabban	5.133988399462396	0.06634593795388355
gyorsaságokban	gyorsaságokban	1.0360634744611161	1.0360634744611161
gyorshajtásokban	gyorshajtásban	4.660740364022786	0.13343324315792415
gyorsulásokban	gyorsulásban	2.0443411223823205	0.5368781660217792
gyorsételekben	gyorsételekben	0.7636812383352662	0.7636812383352662
gyorsírásokban	gyorsírásban	1.8700033969798824	0.6661320671992144
