Correct Form	Predicted Form	Surprisal
gravitációval	gravitációkkal	13.735375971264148	0.044547632125613745
gravitációssal	gravitációsakkal	15.58141278502444	0.7097976877194014
gráffal	gráfokkal	15.113443367597938	0.19158419210725697
gránittal	gránitokkal	16.171002610837604	0.14394055915545323
gránittal	gránitokkal	16.171002610837604	0.14394055915545323
gránátalmával	gránátalmákkal	11.04203046391558	0.10223882504578796
nappal	napokkal	13.376610106017324	0.23955667136760894
gróffal	grófokkal	14.661096275267482	0.17376205480104545
grófkisasszonnyal	grófkisasszonyokkal	16.821785888623708	0.5845820261347399
gubacsdarázzsal	gubacsdarázsakkal	31.141780911785645	1.1167086459618076
gubóval	gubókkal	13.983585708404462	0.04107932173883455
gulyával	gulyákkal	13.280578900893488	0.027921377660277358
gulyással	gulyásokkal	13.417895395318737	0.07799848771082907
gumicsizmával	gumicsizmákkal	12.129268836864867	0.029830205074176774
gumicsónakkal	gumicsónakokkal	8.04902000036418	0.11584006490920729
gumikesztyűvel	gumikesztyűűkel	5.154955095846162	1.873088077411012
guruval	gurukkal	16.29990497392464	0.04649255684671516
gusztustalannal	gusztustalanokkal	12.473454123872216	0.33420852493145503
gutával	gutákkal	10.848066190450481	0.13387915272687678
gyakorival	gyakoriakkal	8.333021247944998	1.1837021845240088
gyakoribbal	gyakoribbakkal	9.69571631211511	0.06787735016041552
gyakorisággal	gyakoriságokkal	13.200458162067662	0.2185324405254505
gyakorlattal	gyakorlatokkal	18.190696643647243	0.06202788602604414
gyakorlatával	gyakorlatakkal	14.683564072223817	0.16154581865339424
gyakorlással	gyakorlásokkal	17.53141869249157	0.24325699905966758
gyakorlásával	gyakorlásákkal	9.251320386068983	0.20315032859434723
gyakorlóval	gyakorlókkal	14.239806764580862	0.02941996923982515
gyakorlóval	gyakorlókkal	14.239806764580862	0.02941996923982515
gyaloggal	gyalogokkal	16.03712584800087	0.10610634215117898
gyalogjaimmal	gyalogjaimokkal	13.26840420832741	0.5769963497587014
gyalogoddal	gyalogodokkal	6.629348337621195	0.44289317693619523
gyalogommal	gyalogomokkal	13.780063233192777	0.20666788358357735
gyalogossal	gyalogosokkal	11.593438770010835	0.915039102503215
gyalogsággal	gyalogságokkal	14.000179329828825	0.2085403772071004
gyalogátkelőhellyel	gyalogátkelőhelyekkel	25.07809487672057	1.2206512748962268
gyaluval	gyalukkal	16.30451446934603	0.02690814679954201
gyantával	gyantákkal	14.361832490889356	0.031403845467139035
gyanúval	gyanúkkal	8.703924478861154	0.7119910350738792
gyanújával	gyanújákkal	10.556761102867313	0.05122082951129414
gyanúsítottal	gyanúsítottakkal	8.001420730730388	1.096412276272531
gyapottal	gyapotokkal	18.728214655799093	0.09085098996001761
gyarmattal	gyarmatokkal	15.800306457706029	0.05771141183504369
gyarmatbirodalommal	gyarmatbirodalomokkal	18.605573977372842	0.8332100301340688
gyarmatosítással	gyarmatosításokkal	15.985061160194164	0.21803468482539756
gyatrával	gyatrákkal	14.80772848118795	0.07428737363079563
gyatrábbal	gyatrábbakkal	6.5012398469334585	0.29558759474457474
gyaurral	gyaurokkal	17.120713037700625	1.1073636474029627
gyengével	gyengékkel	11.74036360689206	0.12549231568118557
gyengével	gyengékkel	11.74036360689206	0.12549231568118557
gyengébbel	gyengébbekkel	8.455814405704587	0.2992658087860036
gyengédebbel	gyengédebbekkel	10.2100019682548	0.2703874848666601
gyengédséggel	gyengédségekkel	13.284031641363981	0.1030735391395865
gyengénlátóval	gyengénlátókkal	9.861818738965667	0.1164930854429258
gyeppel	gyepekkel	12.30775656858168	0.982177347279503
gyerekkel	gyerekekkel	5.651364815916168	0.09107270860113204
gyerekcipővel	gyerekcipőkkel	11.109686076248181	0.08842123889189679
gyerekével	gyerekekkel	13.368766814877745	0.33085777232190594
gyerekjátékkal	gyerekjátékokkal	3.4555888127943035	0.8020451463817153
gyereknyelvvel	gyereknyelvekkel	17.715809047986113	0.17249737540987553
gyermekkel	gyermekekkel	6.901162948386627	0.22790319261548575
gyermekcipővel	gyermekcipőkkel	9.766037181558204	0.24305494625878055
gyermekcsével	gyermekcsékkel	10.687740455949097	0.05221124329546001
gyermekével	gyermekékkel	8.32107121606532	0.1654392224008916
gyermekeivel	gyermekeiekkel	8.97406478562334	0.21065592543163802
gyermekgyógyásszal	gyermekgyógyászokkal	22.52738887911255	0.9715014559624251
gyermekgyógyászattal	gyermekgyógyászatokkal	17.488937757676467	0.3647407965036109
gyermekivel	gyermekiekkel	6.033939795670449	0.4567862641561078
gyermekkorral	gyermekkorakkal	16.98186708659341	0.625364075836842
gyermekkorival	gyermekkoriakkal	7.1494985406898195	0.4879030224547023
gyermeknyelvvel	gyermeknyelvekkel	18.11149461749301	0.14812917793460656
gyermekorvossal	gyermekorvosokkal	15.894089683293714	0.9490269242523937
gyermekotthonnal	gyermekotthonokkal	15.42294947123446	1.0796071455843048
gyermekruházattal	gyermekruházatokkal	17.960279899009038	0.12813730590278283
gyermekvédelemmel	gyermekvédelemekkel	17.58036862326844	0.4744608617766062
gyermekvédelmivel	gyermekvédelmiekkel	9.319183141473331	0.6481503718678141
gyermeküléssel	gyermekülésekkel	18.020236152762664	0.04207114335440565
gyertyával	gyertyákkal	10.976139295758912	0.9568340695404913
gyertyatartóval	gyertyatartókkal	15.604358501033857	0.06127714004833251
gyilkossal	gyilkosokkal	12.579398478686926	0.5552969194977777
gyilkossággal	gyilkosságokkal	10.594543497616542	0.16944075383071322
gyommal	gyomokkal	13.995605982461711	0.982264302278054
gyomorral	gyomorokkal	16.641733779419155	0.73301469731814
gyomorhuruttal	gyomorhurutokkal	16.146123647260538	0.10874830035754712
gyomorkeserűvel	gyomorkeserűekkel	6.615793963886972	0.5521446289421874
gyomorrontással	gyomorrontásokkal	21.63077160942339	0.1930175691304612
gyomorégéssel	gyomorégésekkel	16.647919160146557	0.05210252985853003
gyorssal	gyorsokkal	16.691033166032867	0.3005738596984884
gyorsabbal	gyorsabbakkal	6.843372619183356	0.10637065919218003
gyorsasággal	gyorsaságokkal	10.265724993063486	0.24387416667013895
gyorshajtással	gyorshajtásokkal	16.284682455370785	0.41062213272380177
gyorsulással	gyorsulásokkal	6.918940236690105	0.6644158853305271
gyorsétellel	gyorsételekkel	13.841008118484751	0.08049079963529948
gyorsírással	gyorsírásokkal	4.979845317811851	1.3338036024979374
gyorsúszással	gyorsúszásokkal	12.3062954765428	0.5215310803414468
gyufával	gyufákkal	12.806697850159253	0.03825806519307662
gyufásdobozzal	gyufásdobozakkal	15.137516693939688	1.1069269049330615
gyulladással	gyulladásokkal	8.137826661768486	0.42894481832627207
gyurmával	gyurmákkal	15.283464890118921	0.022611415392020717
gyámmal	gyámokkal	12.940656396342092	1.1491847230790881
gyárral	gyárakkal	15.63027901427995	0.6598875142080942
gyárival	gyárikkal	15.413666657885187	0.16093211765110027
gyártmánnyal	gyártmányokkal	15.361539486984839	0.5989937605918385
gyártással	gyártásokkal	11.517574763805897	0.13083758748689434
gyártásával	gyártásákkal	9.754396444805025	0.0732571460903273
gyártásival	gyártásiakkal	9.028328347056231	0.16545244845474372
gyártóval	gyártókkal	15.672754453335074	0.028990983104449697
gyártóval	gyártókkal	15.672754453335074	0.028990983104449697
gyásszal	gyászokkal	18.94729857753555	0.2826985568681266
gyászjelentéssel	gyászjelentésekkel	18.498984105994168	0.1057483196418616
gyászmisével	gyászmisékkel	7.766768395071267	1.1316336727322778
gyászosabbal	gyászosabbakkal	10.2788083862024	0.058748039728925505
gyászzenével	gyászzenekkel	9.242377848015167	0.4892596787540242
gyávasággal	gyávaságokkal	10.994239695035503	0.23999523183738347
gyémánttal	gyémántokkal	14.597220476323855	0.8454041544318898
gyíkkal	gyíkakkal	7.748244791611796	0.6254406938096508
gyógyfürdővel	gyógyfürdőkkel	12.580346826041932	0.14142449693463277
gyógyfűvel	gyógyfűkkel	7.524381618000916	0.4409498555905884
gyógynövénnyel	gyógynövényekkel	20.165348901602556	0.060828805158962496
gyógypedagógiával	gyógypedagógiákkal	8.414406449373928	0.13822455117770005
gyógyszerrel	gyógyszerekkel	17.999299667120795	0.08677413219993468
gyógyszeressel	gyógyszeresekkel	18.61780302533589	0.08034469284757506
gyógyszerhatástannal	gyógyszerhatástanokkal	16.89224685782392	0.7414503922482254
gyógyszeriparral	gyógyszeriparokkal	14.918245018969174	0.9734502635692479
gyógyszerkönyvvel	gyógyszerkönyvekkel	14.120177249264088	0.4609279581491137
gyógyszermérgezéssel	gyógyszermérgezésekkel	12.956869531670236	0.5136488329299027
gyógyszertárral	gyógyszertárakkal	14.662734122612164	0.8765265294787241
gyógyszerésszel	gyógyszerészekkel	16.24019637228048	0.464706118000322
gyógyszerészettel	gyógyszerészetekkel	11.735388702581986	0.2641068890079623
gyógyszerészetivel	gyógyszerészetiekkel	10.634990822189138	0.5480345705436775
gyógyulással	gyógyulásokkal	9.48021046363283	0.5657650959619787
gyógyásszal	gyógyászokkal	19.411029347233125	0.3109330736733682
gyógyászattal	gyógyászatokkal	16.569260250793377	0.09076934382210311
gyógyászatival	gyógyászatiakkal	12.411998623361796	0.21348507873153721
gyógyíthatatlannal	gyógyíthatatlanokkal	14.12337208011013	0.715142328364891
gyógyíthatatlanabbal	gyógyíthatatlanabbakkal	7.413764510434703	0.10051622767059598
gyógyíthatóval	gyógyíthatókkal	9.842570061897277	0.05126155253674369
gyógyítással	gyógyításokkal	7.6854016557044815	0.46357940610323567
gyógyítóval	gyógyítókkal	13.415414654984488	0.021950441630906425
gyógyítóval	gyógyítókkal	13.415414654984488	0.021950441630906425
gyökkel	gyökekkel	9.128296257840702	0.9688387309433892
gyökérrel	gyökérekkel	11.709324514114996	0.0994416895264294
gyömbérrel	gyömbérekkel	12.711002716925577	0.051722712712944485
gyömbérsörrel	gyömbérsörökkel	14.75574379992031	0.9185469871881651
gyönggyel	gyöngyökkel	20.634059716758202	0.9858384830149589
gyöngybagollyal	gyöngybagolyakkal	18.354476525331847	1.453941538813524
gyöngytyúkkal	gyöngytyúkokkal	6.037474342476344	0.5843290537013672
gyöngyvirággal	gyöngyvirágokkal	12.566379987023538	0.21514649348682724
gyönyörrel	gyönyörökkel	20.779001599563344	0.2757420480847941
gyönyörűvel	gyönyörűekkel	7.094655808752577	1.2940058271633461
gyönyörűséggel	gyönyörűségekkel	11.227723944139143	0.07776552522409474
gyötrelemmel	gyötrelemekkel	14.58574024050904	0.08452375383058097
gyújtogatással	gyújtogatásokkal	15.527751860805438	0.16181142303685192
gyújtással	gyújtásokkal	12.462593509939325	0.11217829341330798
gyülekezettel	gyülekezetekkel	16.22833112076478	0.17926273724151542
gyülekezetivel	gyülekezetiekkel	7.939017765158496	0.47314896008901997
gyümölccsel	gyümölcsökkel	24.73139641058515	0.2853154238546267
gyümölcsfával	gyümölcsfákkal	9.888612543436466	0.11119068178231828
gyümölcshússal	gyümölcsúsakkal	23.623872927128104	1.0583165756252129
gyümölcslével	gyümölcslékkel	7.083608798740897	1.397456665581558
gyümölcsízzel	gyümölcsízekkel	12.601082260167459	0.2189977923699189
gyümölcsízűvel	gyümölcsízűekkel	3.6008305034483783	0.9033594146021642
gyümölcsössel	gyümölcsösekkel	19.563642645603977	0.6842936826869845
gyümölcsössel	gyümölcsösekkel	19.563642645603977	0.6842936826869845
győzelemmel	győzelemekkel	14.391854154426255	0.19337846980488393
gyűjteménnyel	gyűjteményekkel	21.767173665270093	0.05324266768002417
gyűjtéssel	gyűjtésekkel	13.114515778579516	0.09384965364006348
gyűjtővel	gyűjtőkkel	11.700205269924481	0.04662526941683609
gyűléssel	gyűlésekkel	16.062219522365922	0.05102928122141748
gyűlölettel	gyűlöletekkel	15.967925292745349	0.23024251872266177
gyűlöletbeszéddel	gyűlöletbeszédekkel	13.166478297134745	0.3316402043419657
gyűlölködővel	gyűlölködőkkel	11.544352422715747	0.16225058749841992
gyűlölködővel	gyűlölködőkkel	11.544352422715747	0.16225058749841992
gyűrődéssel	gyűrődésekkel	13.901562619561446	0.07576938126294408
gyűrűvel	gyűrűkkel	6.3788720885058865	1.4345320197753608
gyűrűjével	gyűrűjekkel	11.241934273391962	0.243294648360461
gyűszűvel	gyűszűkkel	5.793600020791928	2.354998021888605
gyűszűvirággal	gyűszűvirágokkal	13.96777382163782	0.39248120854244917
gácsérral	gácsérokkal	11.830343584872026	0.7955951587864547
