Correct Form	Predicted Form	Surprisal
gravitáció	gravitációk	0.03851055441919016	0.05814248784008669
gravitációs	gravitációsok	0.039838167758716736	0.19122082266403595
gráf	gráfok	0.08043508528498933	0.2370199618744664
gránit	gránitok	0.03981653752271086	0.21849121164996177
gránit	gránitok	0.03981653752271086	0.21849121164996177
gránátalma	gránátalmák	8.839532274985686	0.07518004486337304
nap	napok	0.004025370377348736	0.06409431298379786
gróf	grófok	0.014966226735850796	0.2909486010612454
grófkisasszony	grófkisasszonyok	0.12178361173573649	0.22766706850234186
gubacsdarázs	gubacsdarázsok	0.2069542625977192	1.1393242696358357
gubó	gubók	0.021568787284195423	0.08692676294595003
gulya	gulyák	8.735267683397979	0.05383404437452555
gulyás	gulyások	0.03297189088334562	0.313828200341959
gumicsizma	gumicsizmák	7.735424111728207	0.07668768860457931
gumicsónak	gumicsónakok	0.054309440005454235	0.4104925355204614
gumikesztyű	gumikesztyűk	0.23808117284352193	0.344720014174527
guru	guruk	0.012073170044459403	0.34623936901334673
gusztustalan	gusztustalanok	0.021593450397631386	0.10329765623100684
guta	guták	3.8911666127387434	0.11675882106646895
gyakori	gyakoriak	0.03638770163524896	1.1262165129883215
gyakoribb	gyakoribbak	0.05105098697822541	0.4858701830962673
gyakoriság	gyakoriságok	0.050549019884783775	0.0615359615185298
gyakorlat	gyakorlatok	0.0692382339912001	0.12489762497716583
gyakorlata	gyakorlaták	8.868194799797493	0.08638286117638927
gyakorlás	gyakorlások	0.06949225766584277	0.2225193539634347
gyakorlása	gyakorlásák	8.819457261619391	0.2368395116936881
gyakorló	gyakorlók	0.06849495283677243	0.10837853662087582
gyakorló	gyakorlók	0.06849495283677243	0.10837853662087582
gyalog	gyalogok	0.1141302319301758	0.1647788890695665
gyalogjaim	gyalogjaimok	0.1466186076286249	0.5500816509011202
gyalogod	gyalogodok	0.1228688852279447	0.2510221066768281
gyalogom	gyalogomok	0.14156629651552066	0.20001505507389084
gyalogos	gyalogosok	0.12128926263540052	0.22421188987209462
gyalogság	gyalogságok	0.1211807316285558	0.1455351201002486
gyalogátkelőhely	gyalogátkelőhelyek	0.306825165549526	0.39170725728035904
gyalu	gyaluk	0.0302541260025464	0.5980354551575147
gyanta	gyanták	4.551675443202839	0.11149874575494323
gyanú	gyanúk	0.07376362971263006	0.33882894209818915
gyanúja	gyanúják	8.252231538208434	0.18521218039677478
gyanúsított	gyanúsítottak	0.12753185282781487	1.1052911954684532
gyapot	gyapotok	0.054745029847254045	0.20383879491419066
gyarmat	gyarmatok	0.02038499031914398	0.09072510147234425
gyarmatbirodalom	gyarmatbirodalomok	0.27821073129598517	1.076645681707305
gyarmatosítás	gyarmatosítások	0.2532247522394755	0.2921979197781184
gyatra	gyatrák	6.4597631766373524	0.07243497659510467
gyatrább	gyatrábbak	0.03307741164462641	0.32467145641567186
gyaur	gyaurok	0.06003564513230231	0.11770401951798704
gyenge	gyengék	2.16834812797606	0.5050243530422449
gyenge	gyengék	2.16834812797606	0.5050243530422449
gyengébb	gyengébbek	0.023189002473372966	0.06647160678403452
gyengédebb	gyengédebbek	0.02459001148235984	0.0481194400053937
gyengédség	gyengédségek	0.025275375053752214	0.16677986999275163
gyengénlátó	gyengénlátók	0.09269638324622065	0.10187880380544811
gyep	gyepek	0.021047858201200143	0.18413108368986286
gyerek	gyerekek	0.018786882457789034	1.2003642616036814
gyerekcipő	gyerekcipők	0.03719695785548538	0.05436758266296238
gyereke	gyerekék	5.030547830392607	0.18224634521175176
gyerekjáték	gyerekjátékok	0.07840296258655144	0.8572384129729471
gyereknyelv	gyereknyelvek	0.0429845502221724	0.05731350962014403
gyermek	gyermekök	0.013406903570285067	0.9986466961854603
