Correct Form	Predicted Form	Surprisal
gravitációkról	gravitációról	7.85799407063314	0.24831558488222072
gravitációsakról	gravitációsról	13.168765630303824	0.1318403329278226
gráfokról	gráfról	7.491009303161263	1.0368642321554944
gránitokról	gránitról	8.285431730386335	0.9699963077437133
gránitokról	gránitról	8.285431730386335	0.9699963077437133
gránátalmákról	gránátalmáról	12.018439112769556	0.3072210582176922
napokról	napról	11.026705401582149	0.18676643268554471
grófokról	grófról	7.7850901540368795	0.6623127327184193
grófkisasszonyokról	grófkisasszonyról	11.578340206993744	0.29017327845213003
gubacsdarazsakról	gubacsdarázsról	21.545449318931787	0.2805106924060965
gubókról	gubóról	8.459988379734568	0.7415255365485791
gulyákról	gulyáról	10.19121893036936	0.30373657343443483
gulyásokról	gulyásról	14.389035115695151	0.07411584830697393
gumicsizmákról	gumicsizmáról	9.080743747595989	0.9281323749237345
gumicsónakokról	gumicsónakról	8.645261282799765	0.8289142155990703
gumikesztyűkről	gumikesztyűről	11.778165878800792	0.22399071922700386
gurukról	gurókhoz	11.345019871892873	2.8056984004797414
gusztustalanokról	gusztustalanokból	7.948028551101743	0.6811389592185151
gutákról	gutáról	8.753283072786871	0.7512600845657289
gyakoriakról	gyakoriról	12.26886064561404	0.21622016675246414
gyakoribbakról	gyakoribbról	16.50300679886277	0.038699856613675365
gyakoriságokról	gyakoriságról	9.824917781748809	0.6569962610374205
gyakorlatokról	gyakorlatról	12.922508474988717	0.08257285850049811
gyakorlásokról	gyakorlásról	10.805338257167023	0.3337158356443979
gyakorlókról	gyakorlóról	8.183326366073743	0.9052699918975122
gyakorlókról	gyakorlóról	8.183326366073743	0.9052699918975122
gyalogokról	gyalogról	15.34203725012776	0.061865883209975436
gyalogosokról	gyalogosról	13.01426520870882	0.1969609356019646
gyalogságokról	gyalogságokból	9.264274465851486	1.0918009877495933
gyalogátkelőhelyekről	gyalogátkelőhelyhelyhelyől	14.53093419696961	5.840674103295896
gyalukról	gyalukból	7.516870347171789	0.35298460902413353
gyantákról	gyantákból	7.1495167461107485	1.3131120285543147
gyanúkról	gyanúról	7.47440628381446	0.7396246938733384
gyanúsítottakról	gyanúsítottról	13.322148092644056	0.11083466169657186
gyapotokról	gyapotokból	9.03711894708249	1.8244679886847734
gyarmatokról	gyarmatról	10.288009229378076	0.6896234933810774
gyarmatbirodalmakról	gyarmatbirodalmakból	7.3705811313702725	3.4111128151707817
gyarmatosításokról	gyarmatosításokból	7.919727862892614	0.6992786984556005
gyatrákról	gyatráról	9.276405646869534	0.4485899627034087
gyatrábbakról	gyatrábbról	13.926607664267067	0.08732258765303413
gyaurokról	gyaurokból	7.684342938300688	1.3104804360191338
gyengékről	gyengéről	8.654744432598818	0.6581841674051248
gyengékről	gyengéről	8.654744432598818	0.6581841674051248
gyengébbekről	gyengébbről	12.564246130270476	0.19101547556056175
gyengédebbekről	gyengédebbről	16.358280754408042	0.05091807687131222
gyengédségekről	gyengédségről	10.455048746232933	0.47281159637350356
gyengénlátókról	gyengénlátóról	12.975831935822498	0.3382376705267234
gyepekről	gyepről	9.439621660276316	0.26634604966966435
gyerekekről	gyerekről	9.665205299104855	0.3489611529803369
gyerekcipőkről	gyerekcipőről	10.360177823453341	0.3661504414285446
gyerekjátékokról	gyerekjátékról	15.732738574624818	0.1757425806717947
gyereknyelvekről	gyereknyelvekből	10.794977091320106	0.8399043361278018
gyermekekről	gyermekről	10.625608838548942	0.2906876047345577
gyermekcipőkről	gyermekcipőről	12.098645180103631	0.09640237827625242
gyermekcsékről	gyermekcséről	11.26070614479977	0.18752009255695157
gyermekgyógyászokról	gyermekgyógyászról	13.951173051544174	0.35197574207995785
gyermekgyógyászatokról	gyermekgyógyászatról	13.855494312825613	0.27651128894649446
gyermekiekről	gyermekiről	14.202395015439834	0.18419311940670013
gyermekkorokról	gyermekkorról	8.8609023128447	0.26705092293559574
gyermekkoriakról	gyermekkoriról	11.292842572176596	0.20826299782493152
gyermeknyelvekről	gyermeknyelvekből	11.18176390005101	1.6329570654197596
gyermekorvosokról	gyermekorvosról	13.102824615052668	0.06731335108634084
gyermekotthonokról	gyermekotthonról	10.520119668188272	0.3438982803199906
gyermekruházatokról	gyermekruházatról	11.453224665863672	0.5723958335292991
gyermekvédelmekről	gyermekvédelemről	8.91274467522453	0.8765359238022938
gyermekvédelmiekről	gyermekvédelmiről	12.893596242953208	0.131034528138116
gyermekülésekről	gyermekülésről	12.212665392979034	0.08827483652567025
gyertyákról	gyertyáról	10.092660348527716	0.33430851183948107
gyertyatartókról	gyertyatartóról	13.99694678146625	0.07081334671238437
gyilkosakról	gyilkosról	18.05406839558418	0.030392893168027513
gyilkosságokról	gyilkosságról	12.146452897854033	0.20578853966435418
gyomokról	gyomról	9.520257732787286	0.31158399541163817
gyomrokról	gyomorról	20.64965372683946	0.14010973382391967
gyomorhurutokról	gyomorhurutról	13.89191527038929	0.17184788748272695
gyomorkeserűkről	gyomorkeserűről	18.355686462131416	0.09540419053519145
gyomorrontásokról	gyomorrontásról	10.13936854781059	0.6096851865731878
gyomorégésekről	gyomorégésről	13.310572428154046	0.0919420640275348
gyorsakról	gyorsról	13.175526341918157	0.07776884740451351
gyorsabbakról	gyorsabbról	16.488781318126712	0.02582517590781208
gyorsaságokról	gyorsaságról	13.446723768836819	0.09623200522037223
gyorshajtásokról	gyorshajtásról	10.086518341879128	0.41213667253032327
gyorsulásokról	gyorsulásról	9.257278077624505	0.8319695031095762
gyorsételekről	gyorsételről	9.696276046488492	0.47047960396230337
gyorsírásokról	gyorsírásról	13.234474182565464	0.07295487703959225
gyorsúszásokról	gyorsúszásról	9.0892352474184	0.6743921227753162
gyufákról	gyufáról	9.906794173366507	0.23626555741066113
gyufásdobozokról	gyufásdobozról	9.449076414632145	0.8192112215328962
gyulladásokról	gyulladásról	11.59492425260396	0.8149788226510282
gyurmákról	gyurmáról	10.251705275702989	0.2156571795931086
gyámokról	gyámról	9.001377106164	0.912146557122469
gyárakról	gyárokból	8.058300324279116	1.8760299545247108
gyáriakról	gyáriról	11.784117414052162	0.20789071405306458
gyártmányokról	gyártmányról	13.379064425120305	0.13137777036899934
gyártásokról	gyártásról	13.22583202659007	0.07278238794242498
gyártásiakról	gyártásiról	16.13513831441378	0.04329777268867474
gyártókról	gyártóról	7.394437470888079	0.7742922749894205
gyártókról	gyártóról	7.394437470888079	0.7742922749894205
gyászokról	gyászról	10.510360150125052	0.45829145662719384
