Correct Form	Predicted Form	Surprisal
gravitációra	gravitációkra	25.643805470055668	0.06147160893306136
gravitációsra	gravitációsokra	19.36490995947679	0.7299205231684027
gráfra	gráfokra	17.642982326404308	0.15479354160197545
gránitra	gránitokra	14.121075656978064	0.22971861374389846
gránitra	gránitokra	14.121075656978064	0.22971861374389846
gránátalmára	gránátalmákra	21.130600244476227	0.0815200220386032
napra	napokra	16.50615694699809	0.2754923845641315
grófra	grófokra	14.291630079780589	0.1572051230323268
grófkisasszonyra	grófkisasszonyokra	12.819665452538175	0.22127024141082074
gubacsdarázsra	gubacsdarázsokra	14.05297405258898	0.8966246290437994
gubóra	gubókra	19.00178555730963	0.04030870186397806
gulyára	gulyákra	13.810516963756527	0.021624532746500336
gulyásra	gulyásokra	15.686961004204932	0.1466064270498464
gumicsizmára	gumicsizmákra	19.792390631479066	0.023510484574217116
gumicsónakra	gumicsónakokra	12.50643913683598	0.1928829825737921
gumikesztyűre	gumikesztyűkre	13.363223509062664	0.05210630041256081
gurura	gurukra	14.479714382854581	0.06396675430733012
gusztustalanra	gusztustalanokra	16.31601001600211	0.17315515359223355
gutára	gutákra	13.287707061812398	0.055410411980119534
gyakorira	gyakoriakra	16.371033389965305	0.8814573367999401
gyakoribbra	gyakoribbakra	18.573555214345106	0.41504854366212385
gyakoriságra	gyakoriságokra	15.712781476555392	0.25439668424041884
gyakorlatra	gyakorlatokra	13.562855800162652	0.47946526725718286
gyakorlatára	gyakorlatákra	21.621279976709047	0.3778278549143579
gyakorlásra	gyakorlásokra	16.071560825686902	1.101468929213297
gyakorlására	gyakorlásákra	19.873616629774915	0.4181629703089129
gyakorlóra	gyakorlókra	19.21473698486807	0.11708639065363968
gyakorlóra	gyakorlókra	19.21473698486807	0.11708639065363968
gyalogra	gyalogokra	15.62880784830486	0.9705932280485285
gyalogjaimra	gyalogjaimokra	16.816108477156376	0.8629927962247166
gyalogodra	gyalogodakra	23.384806855174247	1.204499469306029
gyalogomra	gyalogomokra	20.498313253803644	0.9877856113089365
gyalogosra	gyalogosakra	18.778454702027375	1.1145509274065262
gyalogságra	gyalogságokra	17.212545853180927	0.46592851312016137
gyalogátkelőhelyre	gyalogátkelőhelyekre	16.60748848602816	0.8248109621199546
gyalura	gyalukra	12.686421892634826	0.17894913224154152
gyantára	gyantákra	14.488971279497491	0.0374130831041839
gyanúra	gyanúkra	14.133004516756046	0.849902845264296
gyanújára	gyanújákra	17.09992411392159	0.08819661189045291
gyanúsítottra	gyanúsítottakra	10.63379778212402	0.6097226522251731
gyapotra	gyapotokra	14.933740846536239	0.1620375145575963
gyarmatra	gyarmatokra	13.687689896440133	0.2916985083720647
gyarmatbirodalomra	gyarmatbirodalmakra	23.0178802760056	1.800829096668167
gyarmatosításra	gyarmatosításakra	15.429396729370637	0.4861623816905194
gyatrára	gyatrákra	13.683304243037128	0.04660766509186942
gyatrábbra	gyatrábbakra	21.09525145444786	0.04846568330685841
