Correct Form	Predicted Form	Surprisal
gravitációkon	gravitáción	16.63818307819747	0.4750574674035306
gravitációsakon	gravitációson	14.440095732687041	1.6702703511109576
gráfokon	gráfokbon	12.300314657739364	0.8104495921870694
gránitokon	gránitokbon	13.436454029535525	1.123718483155244
gránitokon	gránitokbon	13.436454029535525	1.123718483155244
gránátalmákon	gránátalmákbonán	15.04656615217391	1.920299136560061
napokon	napokbon	10.657801642431878	1.4264053975930437
grófokon	grófokbon	12.513934551010607	0.308464639558224
grófkisasszonyokon	grófkisasszonyon	17.036013222677866	0.7080622873327229
gubacsdarazsakon	gubacsdarázson	22.935878319316544	1.4596250796457753
gubókon	gubókhon	14.431707466792432	1.3255795667209895
gulyákon	gulyákhon	19.757352672269917	0.4718514277919894
gulyásokon	gulyáson	15.308779676284757	0.335521193293971
gumicsizmákon	gumicsizmák	12.927932187099941	0.25296579796122387
gumicsónakokon	gumicsónakokbon	10.689111583262275	0.5571455847020843
gumikesztyűkön	gumikesztyűvekben	10.907833617540746	2.3720031262018892
gurukon	gurukbon	13.820628860237775	2.2565512687142473
gusztustalanokon	gusztustalanokbon	12.455926785667543	1.0091626780777005
gutákon	gutákhon	13.333954036454088	0.7532866925321287
gyakoriakon	gyakoriakbon	13.953925603935204	1.9949645464585046
gyakoribbakon	gyakoribbok	18.460603556632122	0.6402705512373359
gyakoriságokon	gyakoriságokbon	14.431536409567343	1.6211419607279822
gyakorlatokon	gyakorlaton	15.560309617358143	0.48935676568362396
gyakorlásokon	gyakorláson	14.88793427884957	0.6378230043119402
gyakorlókon	gyakorlókbon	15.630343874552636	2.0608875253092265
gyakorlókon	gyakorlókbon	15.630343874552636	2.0608875253092265
gyalogokon	gyalmakbon	15.631584342438146	1.5855896147986641
gyalogosokon	gyalmasokbon	17.510965828274493	2.5617055633774726
gyalogságokon	gyalmason	17.43635984104185	2.8732294247165555
gyalogátkelőhelyeken	gyalmatkelőhelyekben	13.545516807083914	3.143095702973369
gyalukon	gyalukhon	13.695920806690992	1.1604211587327882
gyantákon	gyantákhon	14.222702797365855	1.1293331751166988
gyanúkon	gyanúakhon	17.80882799331448	1.1175585825403687
gyanúsítottakon	gyanúsítottokbon	16.274601555746358	2.3975035309235864
gyapotokon	gyapotokbon	13.46830606466392	0.7033273047418334
gyarmatokon	gyarmatokbon	14.280095691770839	0.6502859666725271
gyarmatbirodalmakon	gyarmatbirodalmakn	12.791630093393906	2.2844123667237
gyarmatosításokon	gyarmatosításon	16.39079494371981	0.809881866145588
gyatrákon	gyatrán	17.58747243200196	0.9595927374321036
gyatrábbakon	gyatrábbokbon	15.496966663104558	1.2967517625625078
gyaurokon	gyaurokbon	12.930425270460546	0.7946236652787775
gyengéken	gyengékhen	11.779230393382022	1.4042127289867494
