Correct Form	Predicted Form	Surprisal
gravitációkért	gravitációért	16.74140157885813	0.03879065459295816
gravitációsakért	gravitációsért	14.012556951760416	0.0607922094186506
gráfokért	gráfért	13.926422299293336	0.09615611891786102
gránitokért	gránitért	20.323867885104846	0.057565424311178504
gránitokért	gránitért	20.323867885104846	0.057565424311178504
gránátalmákért	gránátalmáért	14.663785834518421	0.07312108514997817
napokért	napért	12.797922826808644	0.07570637305616401
grófokért	grófért	13.577583589183632	0.21066286767018028
grófkisasszonyokért	grófkisasszonyért	14.442974521989527	0.1722370069255703
gubacsdarazsakért	gubacsdarázsért	23.58724890789017	0.9525233418098651
gubókért	gubóért	12.635978364443872	0.09144542096692021
gulyákért	gulyáért	11.052548907508026	0.35333940055352286
gulyásokért	gulyásért	22.357677979307482	0.010401079138318892
gumicsizmákért	gumicsizmáért	16.531830963655807	0.036367863073678564
gumicsónakokért	gumicsónakért	8.607618160549464	0.43630877579926164
gumikesztyűkért	gumikesztyűért	11.944493907099968	0.07214964292143122
gurukért	gurukt	5.87506870663492	1.736743571178522
gusztustalanokért	gusztustalanért	11.351634735110565	0.05731114877562504
gutákért	gutáért	10.583703158074059	0.31504483906246605
gyakoriakért	gyakoriért	20.546630547493805	0.08623571143380104
gyakoribbakért	gyakoribbért	17.05169398171256	0.04649325916670932
gyakoriságokért	gyakoriságért	11.453298172172936	0.22494079258626698
gyakorlatokért	gyakorlatért	11.320155535316871	0.2392073787211757
gyakorlásokért	gyakorlásért	13.754637045569098	0.14324891028968523
gyakorlókért	gyakorlóért	22.536529073566044	0.04874055493723972
gyakorlókért	gyakorlóért	22.536529073566044	0.04874055493723972
gyalogokért	gyalogért	23.041130940687253	0.049890506025803916
gyalogosokért	gyalogosért	19.74879221028982	0.08030116629538497
gyalogságokért	gyalogságért	17.782220289447423	0.1478371130594951
gyalogátkelőhelyekért	gyalogátkelőhelyért	13.662378949122058	0.3681468597876574
gyalukért	gyaluért	8.25496323994139	0.5159490840187573
gyantákért	gyantákrant	10.778949005131835	2.7997479625728374
gyanúkért	gyanúért	15.207893640700604	0.3261369761339665
gyanúsítottakért	gyanúsítottért	15.589009569755035	0.2968061872825274
gyapotokért	gyapotért	17.955900088035378	0.16619762002210337
gyarmatokért	gyarmatért	19.870196240367477	0.057125220265334065
gyarmatbirodalmakért	gyarmatbirodalmakrant	7.170484940399092	3.447022613946956
gyarmatosításokért	gyarmatosításért	12.249857577695138	0.7566599753297396
gyatrákért	gyatrákrant	10.274618084748909	2.0611257937007395
gyatrábbakért	gyatrábbért	14.304528350297005	0.5699195370789312
gyaurokért	gyaurért	12.769981902917607	0.9117896134948751
gyengékért	gyengékrent	7.626784729741303	2.3421894591001546
