Correct Form	Predicted Form	Surprisal
gravitációig	arónak	40.21667668223381	10.690637528896332
gravitációsig	hovácsón	47.472843661904335	10.884963929653168
gráfig	fáfon	24.230442345142365	6.698725998401642
gránitig	ernan	28.77804234623909	8.877715542912483
gránitig	ernan	28.77804234623909	8.877715542912483
gránátalmáig	armaganak	48.080907225608826	14.583841055631638
napig	dípon	13.531090861186385	6.473344683647156
grófig	hon	13.969399392604828	3.6857985258102417
grófkisasszonyig	honyszszszsoszósz	46.78931751847267	27.3221632540226
gubacsdarázsig	hobak	44.81481082737446	5.780142903327942
gubóig	hobóban	27.768232363276184	6.880455303937197
gulyáig	nályángyángyángyángyángyángyáng	20.1647220402956	50.304994862526655
gulyásig	hulyássássássássássássássássáss	17.383041992783546	43.470781579613686
gumicsizmáig	bumimimimimimimimimimimimimimim	42.3828050121665	52.99736774712801
gumicsónakig	fumiók	23.84339553117752	8.01598285138607
gumikesztyűig	emiketetetetetetetetetetetetete	43.3563928976655	59.73872411251068
guruig	burunánánánánánánánánánánánánán	15.982645720243454	52.950480192899704
gusztustalanig	anászalantanananananananananana	30.48275112360716	55.78155720233917
gutáig	hutatát	22.219115786254406	8.061704516410828
gyakoriig	gak	29.799915313720703	4.2483029961586
gyakoribbig	gakig	32.192011296749115	7.343862771987915
gyakoriságig	gaggoggoggoggoggoggoggoggoggogg	33.81984442472458	43.308671712875366
gyakorlatig	akoz	31.92126715183258	6.284390181303024
gyakorlatáig	akoz	37.43683835864067	5.334146589040756
gyakorlásig	gak	32.58709251880646	3.9119582176208496
gyakorlásáig	gak	37.194405406713486	3.733280897140503
gyakorlóig	gak	31.367261469364166	4.284653186798096
gyakorlóig	gak	31.367261469364166	4.284653186798096
gyalogig	gyoggoggoggoggoggoggoggoggoggog	20.48883675225079	41.526095151901245
gyalogjaimig	hog	42.36946952342987	3.8682210445404053
gyalogodig	gyoggongongongongongongongongon	26.144661474972963	44.602447867393494
gyalogomig	gyon	26.009201228618622	6.614232420921326
gyalogosig	gyagosososososososososososososo	23.73598176240921	51.70136511325836
gyalogságig	gyágggggggggggggggggggggggggggg	31.154610698111355	53.4967491813004
gyalogátkelőhelyig	gyaggeggeggeggeggeggeggeggeggeg	67.95134964585304	50.206191182136536
gyaluig	gyánánánánánánánánánánánánánáná	20.619233638048172	50.931265354156494
gyantáig	gyanak	24.5910462141037	7.837855517864227
gyanúig	gyongyongyongyongyongyongyongyo	24.317059986293316	40.17573666572571
gyanújáig	gújának	31.435302525758743	9.501146674156189
gyanúsítottig	antotototototototototototototot	44.332079604268074	48.1389222741127
gyapotig	gon	22.143210917711258	5.749958395957947
gyarmatig	hag	24.974085807800293	5.583654820919037
gyarmatbirodalomig	gyatatatatatatatatatatatatatata	59.30924028158188	58.65275466442108
gyarmatosításig	gyatosztatosztatosztatosztatosz	37.13783875852823	41.08970406651497
gyatráig	gyanak	26.949053436517715	8.47806230187416
gyatrábbig	gyabban	26.62816645205021	8.365393102169037
gyaurig	gug	28.41517725586891	5.410540580749512
gyengéig	gegyeg	28.407568506896496	5.656223878264427
gyengéig	gegyeg	28.407568506896496	5.656223878264427
gyengébbig	gyebbegyegyegyegyegyegyegyegyeg	31.344422921538353	30.98301723599434
gyengédebbig	gyegyegyegyegyegyegyegyegyegyeg	34.638153210282326	36.23584121465683
gyengédségig	egyszegységységységységységység	29.214698784053326	39.03968870639801
gyengénlátóig	gyagyáng	45.34500992298126	11.285114854574203
gyepig	fen	17.793666541576385	3.7752261459827423
gyerekig	erekekekekekekekekekekekekekeke	14.488567382097244	21.46784447133541
gyerekcipőig	erek	33.06082737445831	6.144321441650391
gyerekéig	egekekekekekekekekekekekekekeke	26.47733575105667	37.267084181308746
gyerekjátékig	egykék	39.71034998074174	8.050243258476257
gyereknyelvig	gyekvengyengyengyengyengyengyen	34.966654509305954	31.619734600186348
gyermekig	erekerekerekekerekekerekekereke	20.898560531437397	40.46597421169281
gyermekcipőig	erők	37.86719000339508	7.216031551361084
gyermekcséig	erek	42.023517072200775	6.155134558677673
gyermekéig	erek	33.01636430621147	4.912853360176086
gyermekeiig	erekekekekekekekekekekekekekeke	36.68845372647047	39.92146027088165
gyermekgyógyászig	gyszek	53.526729837059975	8.293133795261383
gyermekgyógyászatig	hegyak	59.313811399042606	7.930451214313507
gyermekiig	erek	30.253198355436325	6.258279502391815
gyermekkorig	gyerdorkorkorkorkorkorkorkorkor	30.828209042549133	51.17347753047943
gyermekkoriig	gyerdordordordordordordordordor	40.623715817928314	55.62797850370407
gyermeknyelvig	gyekvekvekvekvekvekvekvekvekvek	46.29299399256706	33.96744078397751
gyermekorvosig	gyorgokorgokorgokorgokorgokorgo	41.014575719833374	41.82713186740875
gyermekotthonig	gyen	46.0709540694952	6.465247333049774
gyermekruházatig	arak	49.38715201616287	8.106383562088013
gyermekvédelemig	erek	53.33396464586258	6.708600282669067
gyermekvédelmiig	szek	54.9227010011673	3.609623149037361
gyermekülésig	erel	41.216990411281586	7.008683443069458
gyertyáig	gyzágyzágyzágyzágyzágyzágyzágyz	33.53699353337288	51.12477454543114
gyertyatartóig	gyatórgyatórgyatórgyatórgyatórg	36.24483263492584	50.313756853342056
gyilkosig	hilkossossossossossossossossoss	28.50927621126175	44.16466099023819
gyilkosságig	gigg	35.2067628800869	6.499959111213684
gyomig	gyomomomomomomomomomomomomomomo	14.674541682004929	48.475042939186096
gyomorig	gomorororororororororororororor	13.047440856695175	51.47370085120201
gyomorhurutig	homatatatatatatatatatatatatatat	44.27805519104004	55.61339379474521
gyomorkeserűig	egyerererererererererererererer	50.973249077796936	52.21472883224487
gyomorrontásig	gon	36.35164311528206	4.125676512718201
gyomorégésig	egyog	38.02451106905937	8.794890880584717
gyorsig	horsz	14.26141506433487	4.594125397503376
gyorsabbig	gyobbabbabbabbabbabbabbabbabbab	18.781199231743813	26.956720799207687
gyorsaságig	gyossággyággyággyággyággyággyág	27.782005488872528	41.799065202474594
gyorshajtásig	gyagyagyagyagyagyagyagyagyagyag	34.70430865883827	51.30760324001312
gyorsulásig	gyorsásságyásságyásságyásságyás	30.43371820449829	51.0761022567749
gyorsételig	egyét	32.212176352739334	8.18162077665329
gyorsírásig	sorg	28.022371768951416	4.672906085848808
gyorsúszásig	sorgyszássúszúszúszúszúszúszúsz	29.699770838022232	34.979288309812546
gyufáig	fúfúfán	33.201963514089584	9.402983367443085
gyufásdobozig	hofozozozozozozozozozozozozozoz	45.5060353577137	42.05792763829231
gyulladásig	folladásásásál	26.06009167432785	22.806943148374557
gyurmáig	gugumán	27.74068111181259	12.360568344593048
gyámig	gyán	17.71542727947235	7.5979267954826355
gyárig	gyán	14.461185902357101	4.433406800031662
gyáriig	gároz	19.035948038101196	8.18521922826767
gyártmányig	honyt	31.68488973379135	7.8606449365615845
gyártásig	gyászászászászászászászászászás	17.49215078353882	37.306021958589554
gyártásáig	gyártásásásásásásásásásásásásás	18.962308645248413	42.5084593296051
gyártásiig	gyászászászászászászászászászás	27.660219565033913	27.87152349948883
gyártóig	gyórón	19.175856202840805	7.722830563783646
gyártóig	gyórón	19.175856202840805	7.722830563783646
gyászig	gyz	17.592790991067886	4.405323699116707
gyászjelentésig	egyegyegyegyegyegyegyegyegyegye	44.848520040512085	58.64007095992565
gyászmiséig	eggyszszez	36.762708857655525	15.220284759998322
gyászosabbig	gyoszaszaszaszaszaszaszaszaszas	25.770197421312332	32.24056988954544
gyászzenéig	gyszegyzegyzegyzegyzegyzegyzegy	37.79551312327385	43.03275364637375
gyávaságig	gyággyággyággyággyággyággyággyá	22.364361744374037	40.50011166930199
gyémántig	eng	27.66754525899887	5.891392707824707
gyíkig	ek	12.838028609752655	2.8954941630363464
gyógyfürdőig	győk	40.36436676979065	5.658873304724693
gyógyfűig	egyegyegyegyegyegyegyegyegyegye	33.44699014723301	49.204443618655205
gyógynövényig	gyönynynynynynynynynynynynynyny	33.56324119493365	37.34969513863325
gyógypedagógiáig	gyag	63.35613999515772	4.716058284044266
gyógyszerig	gyeregyeregyeregyeregyeregyereg	29.30227952823043	42.865500029176474
gyógyszeresig	egyeseseseseseseseseseseseseses	34.34953464567661	34.57474063336849
gyógyszerhatástanig	gyagyagyagyagyagyagyagyagyagyag	52.587993551045656	47.68832490593195
gyógyszeriparig	hoz	36.7623063698411	4.391181826591492
gyógyszerkönyvig	egyön	43.68656117469072	7.028447315096855
gyógyszermérgezésig	egyereszereszereszereszereszere	54.67307920008898	37.5108742415905
gyógyszertárig	hogyzórgyzórgyzórgyzórgyzórgyzó	34.255567118525505	45.0233513712883
gyógyszerészig	szergyeszeszeszeszeszeszeszesze	40.63495855778456	33.81601458787918
gyógyszerészetig	egyeszegyegyegyegyegyegyegyegye	44.767979599535465	40.696697413921356
gyógyszerészetiig	eggez	54.95084462314844	7.804418832063675
gyógyulásig	hog	34.589438289403915	3.369323343038559
gyógyászig	gyhoz	27.388741709291935	5.365314453840256
gyógyászatig	hagyatatatatatatatatatatatatata	29.633270546793938	51.78944459557533
gyógyászatiig	gyag	38.51007720828056	4.759737938642502
gyógyíthatatlanig	athatlatlatlatlatlatlatlatlatla	41.32372570037842	33.50337624549866
gyógyíthatatlanabbig	hathathathathathathathathathath	49.90218774974346	44.15901356935501
gyógyíthatóig	gyítótóg	33.00953587144613	10.150029137730598
gyógyításig	gyítássászászászászászászászász	25.905444405972958	44.564094595611095
gyógyítóig	gyítógógógógógógógógógógógógógó	21.244753450155258	38.00639386475086
gyógyítóig	gyítógógógógógógógógógógógógógó	21.244753450155258	38.00639386475086
gyökig	ek	10.445848762989044	2.770482748746872
gyökérig	ekéreréreréreréreréreréreréreré	16.278920114040375	39.87225568294525
gyömbérig	gyeren	23.815401554107666	8.845755398273468
gyömbérsörig	förgyörgyörgyörgyörgyörgyörgyör	30.025386542081833	46.232615411281586
gyöngyig	gyögygyögygyögygyögygyögygyögyg	18.198993049561977	36.59559190273285
gyöngybagolyig	gyogyogyogyogyogyogyogyogyogyog	46.90411254577339	25.559828869998455
gyöngytyúkig	hoz	35.17631437629461	4.725802779197693
gyöngyvirágig	gyoggyg	44.9044568836689	9.566787391901016
gyönyörig	förörörörörörörörörörörörörörör	18.16067287325859	45.369228810071945
gyönyörűig	egön	27.40160146355629	6.107772171497345
gyönyörűségig	eg	29.36716602742672	2.78987318277359
gyötrelemig	emret	30.738763868808746	7.886281818151474
