Correct Form	Predicted Form	Surprisal
gravitációkká	gravitációvá	2.476241392647296	0.3919068386130107
gravitációsakká	gravitációsakkál	0.2821002082072823	0.3336241581582158
gráfokká	gráfokkál	0.507768530271278	0.5797238087870937
gránitokká	gránitokkál	0.3423623146445607	0.5882668198973988
gránitokká	gránitokkál	0.3423623146445607	0.5882668198973988
gránátalmákká	gránátalmáká	3.787425947889915	1.2407923392506746
napokká	napokkál	1.0365644861885812	1.10684663997381
grófokká	grófokkál	0.32231524259987054	0.4125526887291926
grófkisasszonyokká	grófkisasszonyoká	2.843401008662113	1.866328386035093
gubacsdarazsakká	gubacsdarazsakkál	0.5986441924787869	0.6628498538948406
gubókká	gubókkál	0.7798184052799115	0.8657942087147603
gulyákká	gulyákkál	0.28575521605489485	0.3775968168902182
gulyásokká	gulyásokkál	0.4131416467944291	0.6374691812316087
gumicsizmákká	gumicsizmákkál	0.984844704596469	1.0258263027948828
gumicsónakokká	gumicsónakokkál	1.0651817344843835	1.1673727356612176
gumikesztyűkké	gumikesztyűkkél	0.14609713582916584	0.20968968896789875
gurukká	guruvá	2.3814500126718485	0.3860356960176432
gusztustalanokká	gusztustalanokkál	1.643922092036064	1.6955832928574637
gutákká	gutákkál	0.4856928030017116	0.5713790321710803
gyakoriakká	gyakoriakkál	0.1721737913819652	0.2558334253760677
gyakoribbakká	gyakoribbakkál	0.12214986918820614	0.21208974657906765
gyakoriságokká	gyakoriságokkál	0.28115774901630175	0.3682877814960648
gyakorlatokká	gyakorlatokkál	0.18778364399736347	0.33774468342130604
gyakorlásokká	gyakorlásokkál	0.13770889700617772	0.2800802534934519
gyakorlókká	gyakorlókkál	0.20315757947219026	0.3062237929011644
gyakorlókká	gyakorlókkál	0.20315757947219026	0.3062237929011644
gyalogokká	gyalogokkál	0.16654734406120042	0.2965767690861867
gyalogosokká	gyalogosokkál	0.2849020396333799	0.3979739804726705
gyalogságokká	gyalogságokkál	0.13726210774109404	0.24788923741505187
gyalogátkelőhelyekké	gyalogátkelőhelyekkél	1.361270696412248	1.4571828847037978
gyalukká	gyalukkál	0.09679404449025242	0.18276373099843113
gyantákká	gyantákkál	0.26535914245187087	0.3734154641920213
gyanúkká	gyanúkkál	0.8483500862735127	0.9442086974399899
gyanúsítottakká	gyanúsítottakkál	0.24508695892950527	0.3587294875826501
gyapotokká	gyapotokkál	0.09608165699546589	0.1830218859345223
gyarmatokká	gyarmatokkál	0.11341905777283046	0.23548399840422007
gyarmatbirodalmakká	gyarmatbirodalmakkál	0.5044741238963297	0.526137314693301
gyarmatosításokká	gyarmatosításokkál	0.0865244680893511	0.12493514659524863
gyatrákká	gyatrákkál	0.07166722777560608	0.20547308388427155
gyatrábbakká	gyatrábbakkál	0.18885789502064654	0.26466788787047335
gyaurokká	gyaurokkál	0.27432148560956193	0.39072683855965806
gyengékké	gyengékkél	0.061872791662608506	0.2145110631136049
gyengékké	gyengékkél	0.061872791662608506	0.2145110631136049
gyengébbekké	gyengébbekkél	0.05318999830194571	0.2716398740143404
gyengédebbekké	gyengédebbekkél	0.37645320050796727	0.4989617934115813
gyengédségekké	gyengédségekkél	0.24901835646414838	0.4902932348468312
gyengénlátókká	gyengénlátókkál	0.7920958536319631	0.8441268863730329
gyepekké	gyepekkél	0.09446104540620581	0.2756812192419602
gyerekekké	gyerekekkél	0.2935379546290733	1.1571890514499046
gyerekcipőkké	gyerekcipőkkél	1.2804365696918012	1.3539093675624372
gyerekjátékokká	gyerekjátékokkál	1.05519686957075	1.14116245080902
gyereknyelvekké	gyereknyelvekkél	0.2252341784287637	0.29803836864721234
gyermekekké	gyermekekkél	0.10333391470544484	1.015318239160706
gyermekcipőkké	gyermekcipőkkél	0.11344473994745385	0.18111147172226083
gyermekcsékké	gyermekcsékkél	1.1216672652046782	1.225136130360852
gyermekgyógyászokká	gyermekgyógyászá	3.6680360867578656	0.9066412283975751
gyermekgyógyászatokká	gyermekgyógyászat	3.360407887334759	0.16971884605550258
gyermekiekké	gyermekivekkél	2.102256702211662	0.6714880732868096
gyermekkorokká	gyermekkorokkál	0.34908864209717194	0.3900383033818571
gyermekkoriakká	gyermekkoriakkál	0.23988083418441875	0.26438714232278926
gyermeknyelvekké	gyermeknyelvekkél	0.11278737747136347	0.18613087796632044
gyermekorvosokká	gyermekorvosakkál	4.041500543026132	0.29912967664154166
gyermekotthonokká	gyermekotthonokkál	0.3786520060305065	0.41712415182632867
gyermekruházatokká	gyermekruházatokkál	0.8657901409044371	0.9169668416454897
gyermekvédelmekké	gyermekvédelemmmmmmmmmmmmmmmmmmmm	12.48624517539588	16.88326278798354
gyermekvédelmiekké	gyermekvédelmiekkél	0.9521757333184269	1.0258699624444034
gyermekülésekké	gyermekülésekkél	0.22728481470971929	0.3108193385544382
gyertyákká	gyertyákkál	0.20506315967122646	0.3324271692899856
gyertyatartókká	gyertyatartókkál	0.9436192909165584	0.9820451574310027
gyilkosakká	gyilkosakkál	0.07925387269278872	0.13648301160355913
gyilkosságokká	gyilkosságokkál	0.28224722373670375	0.3229466311950091
gyomokká	gyomokkál	0.45726297479268396	0.5328578321277746
gyomrokká	gyomorokkál	9.340881866925429	1.01817161399822
gyomorhurutokká	gyomorhurutokkál	0.24411228819644748	0.2887303843990594
gyomorkeserűkké	gyomorkeserűkkél	0.04674678382616548	0.1074033276472619
gyomorrontásokká	gyomorrontásokkál	0.8743246255367012	0.9082004001288624
gyomorégésekké	gyomorégésekkél	0.1828570872930868	0.3002042457846983
gyorsakká	gyorsakkál	0.3150381167579326	0.5522572715926799
gyorsabbakká	gyorsabbakkál	0.12386689745244439	0.23350677304324563
gyorsaságokká	gyorsaságokkál	0.49868834368862736	0.6277813797441922
gyorshajtásokká	gyorshajtásakkál	1.7864466202772746	0.6503639719849161
gyorsulásokká	gyorsulásokkál	0.29856615844983025	0.5542403120161907
gyorsételekké	gyorsételekkél	0.1302369442851159	0.24863152774878472
gyorsírásokká	gyorsírásokkál	0.6954940412379074	0.7589964572525787
gyorsúszásokká	gyorsúszásokkál	0.2045973931071785	0.2842667122004059
