Correct Form	Predicted Form	Surprisal
gravēdinōsum	gravedinōsum	2.5404950644733617
gravidum	gravidum	0.2583919584940304
gravius	gravius	0.8332296972221229
gravissimum	gravissimum	0.2726131231174804
gregāle	gregāle	1.2492548517766409
gregārium	gregārium	0.7327133894141298
gremiāle	gremiāle	0.33652061120665167
griseatum	griseatum	1.7426221996429376
griseoaurantiacum	griseoaurāntiācum	5.894637052086182
griseolum	griseolum	0.8763115134843247
griseum	griseum	0.879190150735667
groenlandicum	groenlandicum	1.2782567335380008
grossius	grossius	0.7210868343245238
grossum	grossum	0.14402406237786636
narbōnense	narbonense	1.456926767132245
guamense	guamense	0.5957695365814288
guangxiense	guangxiense	0.5124324716452975
guaranicum	guaranicum	1.270470077986829
guatemalense	guatemalense	0.7379079706479388
gubernābile	gubernābile	0.4010481409422937
guianense	guianense	0.8177502714625007
guineense	guineenis	24.158473788571428
guineense	guineense	0.2679272260829748
guizhouense	guizhouense	0.23186556584414575
gulāre	gulāris	6.823350386941456
gustābile	gustābile	1.3457660372068858
guttātum	guttātum	0.8920467586740415
gymnasticum	gymnāsticum	2.015815057558939
gymnicum	gymnicum	0.054102755209896713
habēnulārum	habenulārum	1.5964903254116507
habilius	habilius	0.39942419519502437
habitābile	habitābile	0.6721243676513495
habituāle	habituāle	0.15487861033034278
hadrūmētīnum	hadrumētinum	5.436297732494495
haedīnum	haedinum	3.763366775587201
haematinum	haematinum	0.48671528775594197
haematobium	haematōbium	3.236079047288513
haemolyticum	haemolyticum	0.2392296916586929
haemorrhoidale	haemorrhoidāle	2.2365469473588746
haereticāle	haereticāle	0.9506764575780835
haesitābundum	haesitābundum	0.40706626930114
hagiographicum	hagiographicum	1.2665638584585395
nīliacum	niliacum	4.041075672226725
nīlōticum	niloticum	4.358498131390661
hainanēnse	hainanense	4.18295091539494
halle	hallucis	9.162094068233273
halophilum	halophilum	0.36650473309418885
hāmātum	hamātum	6.079767738992814
hāmiforme	hamiforme	5.3258849050653225
hantoniense	hantoniense	0.2566225712762389
harēnāceum	harēnāceum	0.6979366216910421
harēnārium	harēnārium	0.6427293054221082
harēnivagum	harēnivagum	0.5492881447062246
harēnōsum	harēnosum	2.603145899680385
harundineum	harundineum	0.3108690011431463
harundinōsum	harundinōsum	0.5114849855890498
harzianum	harzianum	0.33308590279193595
hastātum	hastātum	0.6069522992602288
hatticum	hatticum	0.09949702775338665
havanense	havanense	0.5828728590422543
hawaiense	hawaiense	0.1404238951872685
hawaiiense	hawaiiense	0.7423099487496074
hebdomadāle	hēbdomadāle	1.867498453364533
hebeiense	hēbeiense	1.5791233409599954
hebeninum	hēbeninum	1.6106626607961516
hebetius	hēbetius	1.9079865513922414
hebraeum	hēbraeum	1.651649148130673
hebraicum	hēbraicum	1.5308375335443998
hederigerum	hēderigerum	1.923764184684842
hederōsum	hēderōsum	2.5907261036190903
heidelbergense	hēidelbergense	1.529621134759509
helvēticum	hēlveticum	3.0254695892799646
hemipterum	hēmipterum	1.147165962618601
henanense	hēnanense	2.2384586533735273
hēpatārium	hēpatārium	1.6269282604334876
hēpaticum	hēpaticum	1.1987059377424885
herbeum	hērbeum	1.4083795398037182
herbidum	hērbidum	1.143007725579082
herculeum	hērculeum	1.2291320225340314
hērēditārium	hērēditārium	2.3333882828228525
herēmum	hērēmum	1.9903620118129766
hereticum	hērēticum	2.2762626458861632
hērōicum	hērōicum	2.008903831934731
palātīnum	palatinum	4.347134976866073
hesperum	hēsperum	1.4772227385037695
hesternum	hēsternum	1.9675637590989936
heterōclitum	hēteroclitum	3.85938638591324
heterogeneum	hēterogeneum	1.9449631726529333
heterophyllum	hēterophyllum	1.616211631520855
hetthaeum	hētthaeum	1.8434486252081115
hettheicum	hēttheicum	1.4632595963776112
hexagonum	hēxagonum	1.5196928127516003
hexastichum	hēxastichum	1.6973259873011557
hibernicum	hibernicum	1.5256068682392652
hibērnonormannicum	hibernōnormannicum	3.293782411445136
hībernum	hibernum	4.903020782137901
hibridum	hibridum	0.25731602171072154
hiemāle	hiemale	1.96894048480317
hiericuntinum	hiericuntinum	0.650861302242447
hieroglyphicum	hieroglyphicum	0.7849992636347451
hierographicum	hierographicum	1.7688027727635927
hierosolymītānum	hierosolymītānum	2.039785815832147
hilarius	hilarius	0.6159609412279679
hilarum	hilarum	0.3442751137044979
himalayanum	himālayanum	1.6081303110113367
himalayense	himālayense	1.615572218921443
hindicum	hindicum	0.1645480363513343
hinnibundum	hinnibundum	0.14340541099409165
hirniōsum	hirniusum	3.3486330292325874
hīrsūtum	hirsutum	7.74996178985748
hirtellum	hirtellum	0.5880077927431557
hīrtum	hirtum	4.059862834808882
hispānicum	hispanicum	1.5502984355716762
hispidulum	hispidulum	0.2763062056910712
hispidum	hispidum	0.2788342974963598
histolyticum	histolyticum	0.4585756348678842
historicum	historicum	0.4835651933826739
histriātum	histriātum	0.6350283750543895
histriōnāle	histriunāle	3.3431645068194484
histriōnicum	histriunicum	3.371879333455581
hiulcum	hiulcum	0.30688039006781764
hodiernum	hodiernum	0.47427827701176284
