Correct Form	Predicted Form	Surprisal
gravēdinibus	gravēdinēs	12.239448383865238
gravidīs	gravīdās	10.547144849260803
gravitātibus	gravitātēs	7.624067173626827
gravitātiōnibus	gravitātiōnēs	11.656741587283136
gravitūdinibus	gravitūdinēs	12.170249822323512
gremiīs	grēmia	7.694079686247278
gregibus	gregēs	9.02216035292804
naepōribus	naepōrēs	10.210110989864916
grōmīs	grōmata	10.262678451632382
grossitūdinibus	grossitūdinēs	15.266534965679966
grūmulīs	grūmulōs	6.607825057973969
grūmīs	grūmōs	4.721045424317708
gruibus	grūra	14.92312716669403
gryllīs	grȳllōs	4.056945739463117
grȳphīs	grȳphōs	4.970703837170731
grypibus	grȳpēs	8.624585036828648
gubernāculīs	gubernācula	11.00746298355807
gubernātiōnibus	gubernātiōnēs	13.690340348011887
gubernātrīcibus	gubernātrīcēs	12.428938173709867
gulīs	gulās	8.361895036214264
gurdīs	gurdōs	6.396787455043523
gurgitibus	gurgēs	11.79003121421556
gurguliōnibus	gurguliōnēs	11.231141745793138
gurgustiīs	gurgustia	10.916435979524977
guribus	gurōs	14.464605294546345
gustātiōnibus	gustātiōnēs	10.901551591506404
guttīs	guttās	7.461286804871634
guttulīs	guttulās	9.300786903921107
gutturibus	guttūrum	20.49501491364208
guttīs	guttūs	9.36538775410736
gutīs	gutōs	5.190170791873243
gymnadibus	gymnadēs	11.30673137679696
gymnasiarchīs	gymnasiarchōs	12.341895331779597
gymnasiīs	gymnasia	8.168326425977284
gynaecēīs	gynaecea	10.984038214162865
gynaecīīs	gynaecīa	7.9986505550696165
gȳrātiōnibus	gyrātiōnēs	13.324990956100919
gȳrīs	gyrōs	5.689239194718539
habēnīs	habēnās	8.79630767472554
habēnulīs	habēnulās	10.425570476596477
habitāculīs	habitācula	10.384045150509337
habitātiōnibus	habitātiōnēs	12.73817370628285
habitātiunculīs	habitātiunculās	9.968200875192451
habitātōribus	habitātōrēs	13.178776126673256
habitātrīcibus	habitātrīcēs	13.009823646324548
habitiōnibus	habitiōnēs	11.666146991818096
habitūdinibus	habitūdinēs	15.334404118731982
habrotonīs	habrotona	11.790013240803091
haecceitātibus	haecceitātēs	7.466232443373883
haedillīs	haedillōs	7.375768061960116
haedulīs	haedulōs	8.056474612647435
haedīs	haedōs	7.359942310140468
haematītīs	haematītās	11.650860659545287
haemēsibus	haemēsēs	12.411779435584322
haerēditātibus	haereditātēs	9.439651962718926
haerēdibus	haerēs	10.8758358086925
haereseīs	haereseōs	12.351314594532596
haeresibus	haerēsēs	15.07662493136013
haesitantiīs	haesitantiās	6.765332094096266
haesitātiōnibus	haesitātiōnēs	12.395500969848626
hafniīs	hafnia	6.45732235815376
hagiographīs	hagiographōs	13.327935272143804
haimīs	haimata	7.912016912712716
nomadibus	nōmadēs	12.727234372752719
halcyonibus	halcyonēs	18.762358672596747
halebardīs	halebardās	8.551554071804276
halipleumonibus	halipleumona	22.371302796360396
hālitibus	halitūs	15.94337184773758
hallebardīs	hallebardās	8.32167612266494
hallīs	hallōs	4.505931507505011
hamīs	hamārum	6.63063763838727
hamaxostichīs	hamaxostichōs	11.756152461472084
hāmiōtīs	hamiōtās	12.766346471849829
hammītidibus	hammitidēs	13.556210044422187
numidīs	nūmidās	10.21919469180284
hāmīs	hamōs	6.060449544165749
harīs	harās	7.23268368258141
harēnīs	harēnās	8.098813508520834
harēnāriīs	harēnāriās	4.617736316853552
harēnāriīs	harēnāria	8.151616396033205
harēnifodīnīs	harēnifodīnās	6.9412872114626225
hariolīs	hariolās	8.202879741489596
hariolīs	hariolōs	7.020608543411072
harmoniīs	harmoniās	4.576227066805586
harpagōnibus	harpaginēs	14.361720155458897
harpastīs	harpasta	8.760536861780565
harpīs	harpia	3.9683651553932577
harundinētīs	harūndinēta	17.948157507194992
harundinibus	harūndinēs	15.750724071065633
haruspicibus	haruspicēs	15.855947587173432
haruspiciīs	haruspicia	9.965313130582217
hassiīs	hassia	6.595974452764494
hastās	hastās	1.2976260808645748
hastīlibus	hastīlia	16.745429206101107
haustōribus	haustōrēs	12.711434929580719
haustrīs	haustrōrum	10.196771069988245
hebdomadīs	hebdomadās	10.154150030961318
hebdomadāriīs	hebdomadāriōs	12.094482425593014
hebdomadibus	hebdomadēs	15.128375765605597
hebenīs	hebenōs	7.984791049922933
hebetātiōnibus	hebētātiōnēs	14.012168776800763
hebetūdinibus	hebētūdinēs	15.559894383526625
hecatombīs	hecātombās	8.480536754155764
hederīs	hederās	10.22729187499499
hedīs	hedera	7.131379017606378
helciīs	helcia	7.234541141544469
hēliotropiīs	heliōtropia	12.301886179746361
hellebardīs	hellebardās	9.331503463123227
helluātiōnibus	helluātiōnēs	13.536813334850649
helluōnibus	hellūōnēs	17.553551259363303
helopibus	helōpēs	10.121466044103727
hēmīnīs	heminās	11.399951515020803
hēmisphaeriīs	hemisphaeria	10.271634784801336
hēmistichiīs	hemistichia	10.681181179505074
hemōnibus	hemōnēs	10.66978133819066
hendecasyllabīs	hendecasyllābōs	17.02617979956267
hēpatītīs	hepatītās	12.948285044287331
hēphaestītidibus	hephaestītidēs	13.471464593414566
herīs	herās	8.638310942274984
herbāriīs	herbāriōs	7.48906211306894
hērēditātibus	herēditātēs	9.63093047025177
hērēdibus	herēs	13.753117769374512
heresibus	herēsēs	11.876577193499543
herniīs	herniās	5.199005502043292
herōdiīs	herōdiōs	8.12689143436728
heterogeniīs	heterogeniās	7.445750396700532
hexagōnīs	hexagōna	11.613844866602449
hexametrīs	hexametrōs	11.632265409483807
hexadibus	hexadēs	12.771026995615102
hiātibus	hiatūs	8.898653581883991
hībernāculīs	hibernācula	13.774653171072714
hībernīs	hiberna	10.983376272895839
hibiscīs	hibisca	8.173746478336398
hibīcibus	hibīcēs	10.01534222252667
hibridīs	hibridās	7.918022024241509
hiemibus	hiemēs	7.800125994341215
hiemibus	hiemēs	8.171330730023328
hierācītidibus	hieracitidēs	15.688037213578355
hierarchiīs	hierārchiās	9.550724415385048
parcīs	parcās	6.018750193976302
hīlīs	hila	9.259507628390566
hīlīs	hilōs	7.3876575054600835
parthīs	parthōs	6.93366867284567
hinnīs	hinnera	5.783269956882577
hīnsidiīs	hinsidiās	6.9919550188024004
hinulīs	hinulōs	6.268647487479029
hippeīs	hippeōs	6.616959587205201
hippocampīs	hippocampōs	12.251462215004722
hippodromīs	hippodromōs	12.69149700451635
