Correct Form	Predicted Form	Surprisal
gravēdine	gravedinis	13.558388679113705
gravidā	gravidae	3.7901182892674115
gravitāte	gravitātis	9.336893239436904
gravitātiōne	gravitātiōnis	8.397457817540271
gravitūdine	gravitūdinis	10.570068823115434
gremiō	gremiī	5.049148632562719
grege	grexis	18.851762522943318
naepōre	naepor	10.70413713902235
grōmā	gromae	3.1606552951270714
grossitūdine	grossitūdinis	10.394383759383345
grūmulō	grumulī	10.4513419221621
grūmō	grumī	8.05050572392065
grue	grusis	14.57012233720161
gryllō	grȳllī	7.13492519200372
grȳphō	grȳphī	6.003945974924136
grype	grȳps	11.752397233154625
gubernāculō	gubernāculī	4.940916796273086
gubernātiōne	gubernātiōnis	6.590407113979381
gubernātrīce	gubernātrīcis	9.086032486418844
gulā	gulae	1.5823976278770715
gurdō	gurdī	5.307373411371373
gurgite	gurge	14.350529583287425
gurguliōne	gurguliōnis	9.988529871043283
gurgustiō	gurgustiī	3.4798187541309744
gurū	guruī	3.472455265116878
gustātiōne	gustātiōnis	7.512735859989334
guttā	guttae	2.6518371956190094
guttulā	guttulae	11.807523023846443
gutture	gutturis	9.103967993578408
guttō	guttī	4.6396382136736065
gutō	gutus	8.491779783274978
gymnade	gymnadis	12.325113979459275
gymnasiarchō	gymnasiarchī	6.967595564608928
gymnasiō	gymnasiī	4.40072913345648
gynaecēō	gynaeceī	8.795696155168116
gynaecīō	gynaecīcī	6.8663287033559754
gȳrātiōne	gyratiōnis	10.33681171083299
gȳrō	gyruī	8.205467130057514
habēnā	habenae	6.415226679149782
habēnulā	habenulae	7.318769347650232
habitāculō	habitāculī	3.3203397503239103
habitātiōne	habitātiōnis	6.097697773275286
habitātiunculā	habitātiōnculae	8.059058991817437
habitātōre	habitātōris	5.899922244130721
habitātrīce	habitāticis	10.560555507836398
habitiōne	habitiōnis	6.473960556962993
habitūdine	habitūdinis	9.254649146459997
habrotonō	habrotonī	3.5669719018042088
haecceitāte	haecceitātis	7.90288371189672
haedillō	haedillī	4.283215929754078
haedulō	haedulī	4.4801633166498505
haedō	haedī	4.318970430875197
haematītē	haematitētis	8.653396848822013
haemēse	haemesis	12.228337161242962
haerēditāte	haereditātis	9.82914990518475
haerēde	haerem	12.34645548556
haereseō	haereseī	3.8835845245048404
haerese	haeresis	9.792536796070635
haesitantiā	haesitāntiae	11.78043695812812
haesitātiōne	haesitātiōnis	6.184221081668511
hafniō	hafniī	4.4597822008654475
hagiographō	hagiogrāthī	8.02241073147161
haimā	haimae	3.4286782843992114
nomade	nomas	14.252128990367055
halcyone	halcyon	10.028364855796099
halebardā	halebardae	8.361914374225307
halipleumone	haliplēum	18.402774921094533
hālitū	halitūs	4.092073759937193
hallebardā	hallebardae	7.075769919494633
hallō	hallī	5.176468994410243
hamā	hamae	2.8020510971546173
hamaxostichō	hamaxostichī	5.512494140944909
hāmiōtā	hamintae	13.59246569732204
hammītide	hammitis	12.412553981121164
numidā	numidā	2.0679773362353444
hāmō	hamuī	8.306447736918926
harā	harae	2.2732982551679015
harēnā	harenae	7.016352934995666
harēnāriā	harenariae	9.461205260362476
harēnāriō	harenariī	7.253509121481329
harēnifodīnā	harenifodinae	11.121572609554278
hariolā	hariolae	5.72061873858911
hariolō	hariolī	5.590114636783255
harmoniā	harmoniae	4.3533552484586835
harpagōne	harpagōnis	10.025739090749994
harpastō	harpastō	1.9350614150753245
harpē	harpeī	3.138863956788555
harundinētō	harundinetum	4.874484755215235
harundine	harundinis	9.377443201141432
haruspice	haruspex	10.590725510846823
haruspiciō	haruspiciī	3.9790526311844587
hassiō	hassiī	2.8862872095778584
hastam	hastae	7.2673802055069245
hastīlī	hastilis	6.352114634340978
haustōre	haustōris	7.846882824902423
haustrō	haustrī	3.6965323232579976
hebdomadā	hēbdomādae	9.098307246807963
hebdomadāriō	hēbdomādāriī	6.299930572509766
hebdomade	hēbdomadis	11.882969826227054
hebenō	hēbenī	6.035354493418708
hebetātiōne	hēbetātiōnis	7.133349648513104
hebetūdine	hēbetūdinis	10.159585495013744
hecatombē	hēcatōmbēs	4.792688564397395
hederā	hēderae	4.480060232104734
hedō	hēdus	7.449213068932295
helciō	hēlciī	3.1643868358805776
hēliotropiō	hēliotropiī	3.9470972325652838
hellebardā	hēllebārdae	8.068979301839136
helluātiōne	hēlluātiōnis	8.496341298865445
helluōne	hēllus	10.913068448251579
helope	hēlopis	9.652097387704998
hēmīnā	hēminae	6.761878659017384
hēmisphaeriō	hēmisphaeriī	4.080687162233517
hēmistichiō	hēmistichiī	3.6774505291250534
hemōne	hēmō	12.727233710698783
hendecasyllabō	hēndecāsyllālī	17.48741287388839
hēpatītē	hēpatitēntis	7.215112776553724
hēphaestītide	hēphaestitis	17.936042170593282
herā	hērae	3.3561534080654383
herbāriō	hērbariī	6.195020339335315
hērēditāte	hēreditātis	9.807736469156225
hērēde	hēreī	16.666724333539605
herese	hēresis	11.47344096004963
herniā	hērniae	8.968454697343986
herōdiō	hērōdiī	7.118440576829016
heterogeniā	hēterogeniae	8.048105615889654
hexagōnō	hēxagōnī	6.3025300682056695
hexametrō	hēxametēris	12.807469327162835
hexade	hēxae	14.645504520274699
