Correct Form	Predicted Form	Surprisal
gravēdinēs	gravēn	11.013097798258968
gravidās	gravīdam	13.370066646875784
gravitātēs	gravitātem	5.725520827614673
gravitātiōnēs	gravitātiōnem	7.175955454014911
gravitūdinēs	gravitūdinem	4.90588846675746
gremia	gremium	3.2467519673773495
gregēs	gricem	11.183214591463184
naepōrēs	naepōrem	4.621280617779121
grōmās	grōma	11.793820319475344
grossitūdinēs	grossitūdinem	4.673671955612008
grūmulōs	grūmulum	7.469737178525975
grūmōs	grūmum	6.868664642282965
gruēs	grūs	13.14083695172667
gryllōs	gryllum	7.495259815619647
grȳphōs	gryphī	7.123266543127102
grypēs	grypem	4.202626252616028
gubernācula	gubernāculum	4.722287731026881
gubernātiōnēs	gubernātiōnem	5.459635819570394
gubernātrīcēs	gubernātrīcem	4.308114337516599
gulās	gulam	4.912826665313332
gurdōs	gurdum	6.379973846949724
gurgitēs	gurgem	7.752797519293381
gurguliōnēs	gurguliōnem	5.91342452932804
gurgustia	gurgustium	4.311273739389435
gurūs	gurum	5.601255006979045
gustātiōnēs	gustātiōnem	4.308868543477729
guttās	guttam	5.06001551868394
guttulās	guttulam	9.07513430956169
guttura	gutturem	9.686413155635819
guttōs	guttum	7.349120309081627
gutōs	gutum	6.775076381250983
gymnadēs	gymnadem	5.120184204977704
gymnasiarchōs	gymnasiarchī	14.933949274767656
gymnasia	gymnasium	3.086681358254282
gynaecēa	gynaeceum	3.4244569939473877
gynaecīa	gynaecia	3.0438888473581756
gȳrātiōnēs	gyrātiōnem	7.471045394719113
gȳrōs	gyrī	7.607902533141896
habēnās	habēnam	7.072873199889727
habēnulās	habenulam	13.183671730097558
habitācula	habitaculum	5.7473199300366105
habitātiōnēs	habitātiōnem	3.3333193488651887
habitātiunculās	habitātiunculam	12.601626820367528
habitātōrēs	habitātōrem	1.5485214730724692
habitātrīcēs	habitātrīcem	3.454424945928622
habitiōnēs	habitiōnem	3.3241438909899443
habitūdinēs	habitūdinem	4.462090194996563
habrotona	habrotonōrum	5.110223938972922
haecceitātēs	haecceitātem	2.297664489131421
haedillōs	haedillīs	8.795991561724804
haedulōs	haedulum	6.1276574199146125
haedōs	haedum	4.904753599199466
haematītās	haematītēn	12.074391060712514
haemēsēs	haemesidem	6.191683633776847
haerēditātēs	haereditātem	5.289366376018734
haerēdēs	haerēdem	4.609392557846149
haereseōs	haereseōrum	7.40518351332139
haeresēs	haeresidem	5.2353796281604446
haesitantiās	haesitāntiam	6.665708444968914
haesitātiōnēs	haesitātiōnem	3.6854351983129163
hafnia	hafnium	2.1430830291938037
hagiographōs	hagiographīs	8.24960368812026
haimās	haima	10.635231866734102
nomadēs	nomadem	5.660969959164504
halcyonēs	halcyon	10.022301406010229
halebardās	halebardam	8.705903291149298
halipleumonēs	halipleumōnum	11.200453517070855
hālitūs	halītum	9.714439565927023
hallebardās	hallebardam	9.33422874538519
hallōs	hallīs	5.6237029186522705
hamās	hamam	7.7528665397985606
hamaxostichōs	hamaxostīchīs	13.734911990017281
hāmiōtās	hamiōtam	10.899926461002906
hammītidēs	hammitidem	5.859791682101786
numidās	nūmidam	9.690747791646572
hāmōs	hamīs	9.233666540312697
harās	haram	5.886300057260087
harēnās	harēnam	6.340747100814042
harēnāriās	harēnāriae	4.391100101925986
harēnāria	harēnāriīs	2.9607257265270164
harēnifodīnās	harēnifodīnam	12.494037812168244
hariolās	hariolam	9.344339947449043
hariolōs	hariolīs	6.641074621948064
harmoniās	harmōniae	5.106997989540105
harpagōnēs	harpaginem	9.121573280528537
harpasta	harpastum	1.761903500475455
harpās	harpin	9.592546997999307
harundinēta	harundinētum	7.134251203853637
harundinēs	harundinem	4.2714718857823755
haruspicēs	haruspicem	2.7475163691851776
haruspicia	haruspiciīs	3.0046957855520304
hassia	hassium	1.7496243339410285
hastīs	hastam	3.9666399225243367
hastīlia	hastīlium	4.586091202159878
haustōrēs	haustōrem	2.6204530402028468
haustra	haustrum	2.1961174024036154
hebdomadās	hebdomadam	9.089849617856089
hebdomadāriōs	hebdomadarium	10.809318815154256
hebdomadēs	hebdomad	4.620357631356455
hebenōs	hebenum	6.194988056900911
hebetātiōnēs	hebetātiōnem	3.8765466812765226
hebetūdinēs	hebetūdinem	5.388892421964556
hecatombās	hecātombēs	14.49430908404247
hederās	hederam	6.866976735502249
hedōs	heder	5.006624689907767
helcia	helcium	3.3298766929947305
hēliotropia	heliotropium	8.707081280605053
hellebardās	hellebardam	9.347005655406974
helluātiōnēs	helluātiōnem	4.398118542245356
helluōnēs	helluōnem	8.32215538159653
helopēs	helōpem	9.326260462665232
hēmīnās	heminae	10.357510620066023
hēmisphaeria	hemisphaerium	7.192381899290922
hēmistichia	hemistichiīs	6.90717374608721
hemōnēs	hemōnem	4.3281045800758875
hendecasyllabōs	hendecasyllabum	12.96810810115494
