Correct Form	Predicted Form	Surprisal
gravēdinibus	gravēdinēs	10.129710397915915
gravidīs	gravidae	6.798793398440466
gravitātibus	gravitātēs	5.738540992693743
gravitātiōnibus	gravitātiōnēs	9.626645206269473
gravitūdinibus	gravitūdinēs	9.314730850608612
gremiīs	gremia	5.817576466513856
gregibus	grecēs	10.898110256785003
naepōribus	naepōrēs	7.635775492177345
grōmīs	grōmata	10.066247615410248
grossitūdinibus	grōssitūdinēs	9.463285647452722
grūmulīs	grumulī	12.724821202133171
grūmīs	grumō	11.601277042223956
gruibus	grura	16.173533048524405
gryllīs	gryllō	9.724735623938614
grȳphīs	gryphī	9.637389105111652
grypibus	grypēs	5.680823615344707
gubernāculīs	gubernācula	8.079258292833401
gubernātiōnibus	gubernātiōnēs	10.315097069204285
gubernātrīcibus	gubernātrīcēs	10.363094477977938
gulīs	gulae	6.2804218077799305
gurdīs	gurdī	8.622291848723762
gurgitibus	gurgēs	16.16325811212846
gurguliōnibus	gurguliōnēs	10.824891952369853
gurgustiīs	gurgustia	7.106274268158813
guribus	gurī	22.116900241746407
gustātiōnibus	gustātiōnēs	9.702413150861503
guttīs	guttae	3.570858503037016
guttulīs	guttulae	6.452889997592138
gutturibus	gutturēs	11.162628102203598
guttīs	guttūs	8.535708399067516
gutīs	gutō	9.896787801437313
gymnadibus	gymnadēs	10.58840077824425
gymnasiarchīs	gymnasiārchō	16.449349398259073
gymnasiīs	gymnasia	8.152723163220799
gynaecēīs	gynaecea	9.030205201786885
gynaecīīs	gynaecīa	8.079040637509024
gȳrātiōnibus	gyrātiōnēs	14.701773505365054
gȳrīs	gyrō	10.444383653099067
habēnīs	habēnae	7.984368111909134
habēnulīs	habēnulae	10.211100983491633
habitāculīs	habitācula	7.5378694833416375
habitātiōnibus	habitātiōnēs	10.815074147032647
habitātiunculīs	habitātiunculae	8.69637447731293
habitātōribus	habitātōrēs	8.451860665194545
habitātrīcibus	habitātrīcēs	9.913546125589164
habitiōnibus	habitiōnēs	10.38844128233086
habitūdinibus	habitūdinēs	10.229528420932184
habrotonīs	habrotona	8.816407280428393
haecceitātibus	haecceitātēs	7.621781922527589
haedillīs	haedillī	9.092383964118198
haedulīs	haedulī	10.799744189513149
haedīs	haedī	9.268454061544617
haematītīs	haematītae	11.531990336909075
haemēsibus	haemesēs	10.804056576889707
haerēditātibus	haerēditātēs	7.5982374804139
haerēdibus	haerēs	14.878240301727601
haereseīs	haereseī	11.700460334716354
haeresibus	haeresēs	9.895673828840245
haesitantiīs	haesitantiae	10.056494254364225
haesitātiōnibus	haesitātiōnēs	10.353517648266461
hafniīs	hafnia	6.112681119993795
hagiographīs	hagiographō	12.716527740747551
haimīs	haimata	8.532540174477617
nomadibus	nomadēs	11.3086349684163
halcyonibus	halcyonēs	10.63103890552884
halebardīs	halebardae	5.137712436437141
halipleumonibus	halipleumonēs	10.259522737498628
hālitibus	halitūs	19.37974582935567
hallebardīs	hallebardae	5.076835058775032
hallīs	hallī	8.526938183262246
hamīs	hamae	8.295913762627606
hamaxostichīs	hamaxostichō	14.101280675891758
hāmiōtīs	hamiotae	12.678247518386343
hammītidibus	hammitidēs	10.993225583053572
numidīs	nūmidae	6.513492578993464
hāmīs	hamī	11.169641411455814
harīs	harae	5.625621245999355
harēnīs	harēnae	7.706035251001595
harēnāriīs	harēnāriae	9.39721276720229
harēnāriīs	harēnāria	7.581190162862185
harēnifodīnīs	harēnifodīnae	8.126221963844728
hariolīs	hariolae	7.545074582740199
hariolīs	hariolī	10.476066614995943
harmoniīs	harmoniae	8.95052832266083
harpagōnibus	harpagōnēs	11.270331320785772
harpastīs	harpasta	7.685108698962722
harpīs	harpae	4.222010276746005
harundinētīs	harundinēta	11.014565879495422
harundinibus	harundinēs	10.980518984171795
haruspicibus	haruspicēs	8.025193406370818
haruspiciīs	haruspicia	7.473953112246818
hassiīs	hassia	6.863460692002263
hastārum	hastās	3.2792023782385513
hastīlibus	hastilia	18.23379103599291
haustōribus	haustōrēs	7.811748271546094
haustrīs	haustra	8.702069733117241
hebdomadīs	hebdomadae	8.009592768430593
hebdomadāriīs	hebdomadāriō	12.884527896298096
hebdomadibus	hebdomadēs	10.326182252218132
hebenīs	hebenō	11.380056206180598
hebetātiōnibus	hebetātiōnēs	10.730448260551384
hebetūdinibus	hebetūdinēs	10.08192400675398
hecatombīs	hecātombae	11.570494471176062
hederīs	hederae	7.824369483627379
hedīs	hedō	9.793799598730402
helciīs	helcia	7.23004126775777
hēliotropiīs	heliotropia	13.800078184882295
hellebardīs	hellebardae	6.279033722472377
helluātiōnibus	helluātiōnēs	11.9598283219932
helluōnibus	helluōnēs	13.621166975644883
helopibus	helopēs	7.163161163160112
hēmīnīs	heminae	13.663499900139868
hēmisphaeriīs	hemisphaeria	10.150179858281263
hēmistichiīs	hemistichia	11.511688127055095
hemōnibus	hemōnēs	10.637173997267382
hendecasyllabīs	hendecasyllābī	10.249549133295659
hēpatītīs	hepātītae	15.477533025143202
hēphaestītidibus	hephaestitidēs	12.326040437968913
herīs	herae	5.618153739153058
herbāriīs	herbaria	7.002056227964204
herbāriīs	herbariī	9.728948210933595
hērēditātibus	herēditātēs	9.976507337691146
hērēdibus	herēs	19.63246746682853
heresibus	heresēs	7.699432784793316
herniīs	herniae	8.650208408344042
herōdiīs	herodiī	11.478302433912177
hērōibus	herōs	26.06350998490234
heterogeniīs	heterogeniae	10.79635457481072
hexagōnīs	hexagōna	8.706289045134326
hexametrīs	hexametrī	6.0904625378898345
hexadibus	hexadēs	11.924584895634325
hiātibus	hiatūs	14.601937796047423
hībernāculīs	hibernācula	10.240451447389205
hībernīs	hiberna	8.490236923171324
hibiscīs	hibisca	9.139071130666707
hibīcibus	hibīcēs	13.951383096835343
