Correct Form	Predicted Form	Surprisal
gravēdinī	gravēdinis	9.291826209140709
gravidae	gravidae	0.7542086319226655
gravitātī	gravitātem	9.48767153393419
gravitātiōnī	gravitātiōnis	7.551200823783347
gravitūdinī	gravitūdinis	10.756336097823805
gremiō	gremiī	3.852706552526797
gregī	grege	10.152494428162754
naepōrī	naepōrem	8.585110805495788
grōmae	gromatis	9.03581323367689
grossitūdinī	grossitūdinis	12.13528326668893
grūmulō	grūmulī	1.9956381922456785
grūmō	grūmus	4.491814463443006
gruī	grūs	15.44121530510165
gryllō	gryllī	2.8989833551459014
grȳphō	gryphī	7.573322819338955
grypī	grypis	8.260930973985523
gubernāculō	gubernāculī	1.6171482931931678
gubernātiōnī	gubernātiōnis	6.326278341788566
gubernātrīcī	gubernātrīcis	4.808175698333798
gulae	gulae	0.3917025835617096
gurdō	gurdō	0.8451912525870284
gurgitī	gurges	9.64410447471164
gurguliōnī	gurguliōnis	4.897202587007996
gurgustiō	gurgustiī	5.008273968263893
guruī	gurī	18.341566444329146
gustātiōnī	gustātiōnis	4.603522160629836
guttae	guttae	1.0728221631725319
guttulae	guttulae	0.31091283357091015
gutturī	gutturer	4.221186917908199
guttō	guttō	0.8883188553591026
gutō	gutō	1.7170530241492088
gymnadī	gymnadis	5.621103943878552
gymnasiarchō	gymnasiarchī	7.20935088807164
gymnasiō	gymnasiī	6.73242490645498
gynaecēō	gynaeceī	8.329518919614202
gynaecīō	gynaeciī	9.539556284122227
gȳrātiōnī	gyrātiōnis	4.003039060833544
gȳrō	gyrī	6.06142770459337
habēnae	habenae	1.626347086916212
habēnulae	habenulae	1.7733556847451837
habitāculō	habitāculō	0.6471414868137799
habitātiōnī	habitātiōnis	4.087592486498124
habitātiunculae	habitātiuncula	1.41381684855196
habitātōrī	habitātōrem	4.993920876817356
habitātrīcī	habitātrīcis	2.855534578409788
habitiōnī	habitiōnī	1.6559164926657104
habitūdinī	habitūdinem	8.608955975396384
habrotonō	habrotonī	2.492982354770902
haecceitātī	haecceitātem	6.510611846235406
haedillō	haedillī	2.0235040280385874
haedulō	haedulī	1.85307588375872
haedō	haedō	0.9362604975613067
haematītae	haematitē	5.508514624008967
haemēsī	haemesis	11.242649673869892
haerēditātī	haerēditātem	8.754634660137526
haerēdī	haerēs	16.549139287388243
haereseō	haeresee	3.79078255884815
haeresī	haeresis	10.790611096424982
haesitantiae	haesitāntiae	6.166505787368806
haesitātiōnī	haesitātiōnis	5.038232576365772
hafniō	hafniī	2.423222290155536
hagiographō	hagiographī	5.5185644448608855
haimae	haimatis	7.839095590519719
nomadī	nomadem	7.399232204727014
halcyonī	halcyontis	5.742415105138207
halebardae	halebardae	0.8149996871288749
halipleumonī	halipleumōntintintintintintin	7.247678495176615
hālituī	halitūs	16.37334415227815
hallebardae	hallebardae	1.334528594976291
hallō	hallere	2.030787892799708
hamae	hamae	1.2041117059925455
hamaxostichō	hamaxostichī	5.524565783111029
hāmiōtae	hamiotae	7.999052186336485
hammītidī	hammitidis	11.585681714619568
numidae	nūmidae	2.2005942542746197
hāmō	hamus	7.279586701828521
harae	harae	0.41608991526845784
harēnae	harēnae	0.8871651249064598
harēnāriae	harēnāriae	1.7050866440622485
harēnāriō	harēnāriī	3.407335041607439
harēnifodīnae	harēnifodīna	2.7329368015821274
hariolae	hariolae	0.7045106204350304
hariolō	hariolō	1.5411639601334173
harmoniae	harmoniae	1.2379781000126968
harpagōnī	harpāgō	5.035276686605357
harpastō	harpastī	2.160585398960393
harpae	harpe	11.86797220072549
harundinētō	harundinētum	3.8484594031542656
harundinī	harundōnis	9.853726185108826
haruspicī	haruspictis	4.96740866440814
haruspiciō	haruspiciī	4.445773018378532
hassiō	hassiī	2.295719410183665
hastae	hastae	0.9589471253420925
hastīlī	hastilēs	6.591601602962328
haustōrī	haustōre	6.722692220691897
haustrō	haustrī	2.3292648241040297
hebdomadae	hebdomādae	2.4496637956326595
hebdomadāriō	hebdomādāriī	5.477305007465475
hebdomadī	hebdomadis	6.5131451999695855
hebenō	hebenus	4.2147384813579265
hebetātiōnī	hebetātiōnis	4.346574589825195
hebetūdinī	hebetūdinem	10.33727623798768
hecatombae	hecātōmbēs	10.383979359197838
hederae	hederae	0.9508779584211879
hedō	hedō	2.4124659310255083
helciō	helciī	4.202372306222969
hēliotropiō	heliotropiī	6.201790043076471
hellebardae	hellebardae	2.0122006998572033
helluātiōnī	helluātiōnis	5.457324459297524
helluōnī	helluōne	6.464798945853545
helopī	helopis	6.728218967640714
hēmīnae	heminae	7.2340648837489425
hēmisphaeriō	hemisphaeriī	9.733251179794024
hēmistichiō	hemistichiī	10.13528692824184
hemōnī	hemōnis	6.163368108012946
hendecasyllabō	hendecasyllābus	4.4624940671928925
hēpatītae	hepatitē	7.0539708862270345
hēphaestītidī	hephaestitidis	16.41770117887063
herae	herae	0.6667759561187268
herbāriō	herbāriī	3.6914683077848167
herbāriō	herbāriī	3.1029062912712106
hērēditātī	hereditātem	11.68480297401402
hērēdī	herēs	16.240658125039772
heresī	heresis	10.53144827801043
herniae	herniae	0.9836320154827263
herōdiō	herodīī	6.47951918144463
hērōe	heros	16.17991664532019
heterogeniae	heterogeniae	1.0546029860524868
hexagōnō	hexagōnum	4.407054570159744
hexametrō	hexametrī	7.258412818342549
hexadī	hexadis	6.350250529772893
hiātuī	hiatū	10.986653132269566
hībernāculō	hibernāculō	3.1090323857715703
hībernō	hibernī	3.994012820388889
hibiscō	hibiscī	4.582739624442183
hibīcī	hibix	11.14134074570029
hibridae	hibridae	0.6749954981969495
hiemī	hiemytis	6.771639589023835
hiemī	hiemis	9.101962833803555
hierācītidī	hierācitidem	9.007534117279647
hierarchiae	hierārchiae	3.789913934915603
parcae	parcae	0.6660270830507216
hīlō	hilī	5.381218859030923
hīlō	hilererere	5.58206243172026
parthō	parthī	1.9430093775772548
hinnō	hinnī	2.688913543106537
hīnsidiae	hinsidiae	2.7435979356669122
hinulō	hinulī	2.327220444323757
hippeō	hippeī	2.3476301191039965
hippocampō	hippocāmpī	4.99548056014828
hippodromō	hippodromō	1.396911510890277
hippophobadī	hippophobas	7.680731328764523
hippopotamō	hippopotāmī	6.097465186477166
hippūrō	hippurī	4.21575305184524
hīrae	hirae	2.5777342865767423
hircō	hircō	2.2491391443181783
hirneae	hirneae	0.7824803671246627
hirūdinī	hirudinem	10.620485269122582
hirundinī	hirundōnis	11.304579442818067
historiae	historiae	1.3848043669495382
historicitātī	historicitātem	9.149577694961408
histriōnī	histriōnis	5.208163711024099
histrīcī	histrix	10.030256821635703
hoedō	hoedō	1.021702666155761
holmiō	holmiī	3.471039459655003
holocaustōmatī	holocaustōmatis	4.360995927840122
holocaustosī	holocaustōsis	12.104765925672837
holocaustō	holocaustī	5.681082327348122
holocautōmatī	holocautōmatī	2.2980318710688152
holerī	holererererererererererererer	4.749984163441695
homicīdae	homicīdae	0.5886918598625925
homicīdiō	homicīdiī	6.222590040357318
homīliae	homiliae	4.375171257008333
homoeoteleutō	homoeoteleutō	2.151885869745456
homogeniae	homogeniae	0.3620106825619587
homullō	homullī	2.1701490074265166
homunciōnī	homunciōnis	3.7835851929194178
homunculō	homunculī	1.3781669627715019
honestātī	honestātem	7.591596601560013
honōrificābilitūdinitātī	honorificābilitūdinitūdinitūd	18.071906981474967
honōrificentiae	honorificentiae	2.990216777792739
honōrī	honos	7.304864084901055
hoplomachō	hoplomāchī	5.51046278807371
hōram	horae	12.166912577413314
hordeō	hordeī	2.647546626860276
horizontī	horizōntis	4.5225260108782095
horreō	horreum	3.401757416104374
horripilātiōnī	horripilātiōnis	6.818152482181176
horrōrī	horrōreris	7.504646468478313
hortātiōnī	hortātiōnis	3.206918675502493
hortātōrī	hortātōrem	3.931827674136912
hortulānō	hortulānī	2.4569161754188826
hortulō	hortulī	1.9403292087008595
hospiciō	hospiciī	3.8984563852645806
hospitālī	hospitāle	4.2282342299004085
hospiticīdae	hospiticīdae	1.7744912478228798
hostiae	hostiae	1.1407061864738353
hostīlitātī	hostilitātem	9.5008539995506
hostī	hostis	5.9737489173712675
