Correct Form	Predicted Form	Surprisal
gravēdinum	grāvedinis	24.361510292830644
gravidārum	grāvidae	10.528498613362899
gravitātum	grāvitātis	18.270933061430696
gravitātiōnum	grāvitātiōnis	17.08799243409885
gravitūdinum	grāvitūdinis	14.863511842588196
gremiōrum	grēmiī	8.394081074307906
gregum	grēcis	25.23671792674577
naepōrum	naepōris	15.082160573721922
grōmārum	grōmatis	18.552110019460088
grossitūdinum	grōssitūdinis	17.029397875565337
grūmulōrum	grūmulī	9.104508442338556
grūmōrum	grūmī	12.133441003708867
gruum	grūris	24.71046699146973
gryllōrum	gryllī	8.92181531371898
grȳphōrum	gryphī	15.40010349403019
grypium	grypis	17.979673309455393
gubernāculōrum	gubernāculī	10.8259117432317
gubernātiōnum	gubernātiōnis	19.088670857570833
gubernātrīcum	gubernātrīcis	16.853865176046384
gulārum	gulae	9.279790579574183
gurdōrum	gurdī	12.412514703348279
gurgitum	gurgetis	17.00472992262803
gurguliōnum	gurguliōnis	14.69285399117507
gurgustiōrum	gurgustiī	12.343875715843751
guruum	gurūs	23.807849904638715
gustātiōnum	gustātiōnis	18.102981675263436
guttārum	guttae	10.078585317940451
guttulārum	guttulae	11.310815200442448
gutturum	gutturis	8.897648030659184
guttōrum	guttī	11.310258205747232
gutōrum	gutūs	15.353629175806418
gymnadum	gymnadis	16.46383790334221
gymnasiarchōrum	gymnasiarchī	16.543406247044913
gymnasiōrum	gymnasiī	8.633204173995182
gynaecēōrum	gynaeceī	16.244366447790526
gynaecīōrum	gynaeciī	18.871495294151828
gȳrātiōnum	gyrātiōnis	22.23982932092622
gȳrōrum	gyrī	21.040267980861245
habēnārum	habenae	11.126625028438866
habēnulārum	habenulae	14.29967571736779
habitāculōrum	habitaculī	10.404609430639539
habitātiōnum	habitātiōnis	16.3359551161775
habitātiunculārum	habitātiunculae	14.278134909603978
habitātōrum	habitātōris	15.392259896092582
habitātrīcum	habitātrīcis	16.51746201356582
habitiōnum	habitiōnis	17.194979539781343
habitūdinum	habitūdinis	15.355427838338073
habrotonōrum	habrotonī	12.450129524047952
haecceitātum	haecceitātis	16.39355853595771
haedillōrum	haedillī	9.918333710636944
haedulōrum	haedulī	9.655415363493375
haedōrum	haedī	13.7790780197829
haematītārum	haematītae	18.07151269746828
haemēsium	haemesis	25.4923162489722
haerēditātum	haereditātis	17.909954458853463
haerēdum	haeritis	23.36777463904582
haereseōrum	haereseī	10.295966384815983
haeresium	haerēsis	22.874803537502885
haesitantiārum	haesitantiae	11.404907118267147
haesitātiōnum	haesitātiōnis	18.58958994119166
hafniōrum	hafniīs	8.727337540418375
hagiographōrum	hagiographī	15.531546583748423
haimārum	haimatis	19.19444625917822
nomadum	nōmadis	23.929339708876796
halcyonum	halcyonis	6.28568371682195
halebardārum	halebardae	16.0397784227971
halipleumonum	halipleumonis	8.059534294181503
hālituum	halitūs	33.13039121526526
hallebardārum	hallebardae	15.826197738875635
hallōrum	hallī	9.893051310093142
hamārum	hamae	14.488821495557204
hamaxostichōrum	hamaxostichī	19.33675129871699
hāmiōtārum	hamiotae	17.002513979561627
hammītidum	hammītidis	16.251700899621937
numidārum	numidae	9.04017998330528
hāmōrum	hamī	18.193373526912183
harārum	harae	9.314551101764664
harēnārum	harēnae	8.374339832633268
harēnāriārum	harenāriae	11.591994666814571
harēnāriōrum	harenāriī	12.601952679047827
harēnifodīnārum	harenifodinae	13.819529139931547
hariolārum	hariolae	11.812489681964507
hariolōrum	hariolī	9.762669502641074
harmoniārum	harmoniae	11.534223813127028
harpagōnum	harpaginis	26.69358537325752
harpastōrum	harpastī	16.354932027490577
harpārum	harpem	15.970398692559684
harundinētōrum	harundinetī	22.042145970248384
harundinum	harundinis	20.162669803015888
haruspicum	haruspexis	18.372541447228286
haruspiciōrum	haruspiciī	13.064730928948848
hassiōrum	hassiīs	6.868566277407808
hastae	hastae	0.1798087080824189
hastīlium	hastilis	11.600553777941968
haustōrum	haustōris	13.017934073614015
haustrōrum	haustrī	9.314641097193089
hebdomadārum	hebdomadae	17.56828090918134
hebdomadāriōrum	hebdomadāriī	15.93611665230128
hebdomadum	hebdomadis	19.39717117836699
hebenōrum	hebenī	11.035611430939753
hebetātiōnum	hebetātiōnis	18.161638289966504
hebetūdinum	hebetūdinis	17.637494859751314
hecatombārum	hecatōmbae	27.653626687359065
hederārum	hederae	8.755271068890579
hedōrum	hedī	12.794492410612293
helciōrum	helciī	7.294404822110664
hēliotropiōrum	heliotropiī	11.637333299499005
hellebardārum	hellebardae	15.753227351466194
helluātiōnum	helluātiōnis	17.415940543985926
helluōnum	helluonis	8.500138397794217
helopum	helopis	18.379445569997188
hēmīnārum	heminae	14.64805051626172
hēmisphaeriōrum	hemisphaeriī	16.660374540930206
hēmistichiōrum	hemistichiī	15.191548804170452
hemōnum	hemōnis	20.6176314575132
hendecasyllabōrum	hendecasyllabī	21.980547004786786
hēpatītārum	hepatītae	19.848411917395424
hēphaestītidum	hephaestitidis	22.689552625735814
herārum	herae	9.48574732983252
herbāria	herbariī	8.708504021109547
herbāriōrum	herbariī	10.403934656351339
hērēditātum	hereditātis	19.442347695123317
hērēdum	herēs	23.044893245212734
heresium	heresis	22.281398307473864
herniārum	herniae	9.936324383656029
herōdiōrum	herodiī	8.484661644673906
hērōēs	herī	16.85527052078396
heterogeniārum	heterogeniae	14.239904763700906
hexagōnōrum	hexagonī	14.795559239923023
hexametrōrum	hexamētrī	20.695437976857647
hexadum	hexadis	20.688449719687924
hiātuum	hiatūs	27.47497426107293
hībernāculōrum	hibernāculī	12.498505268711597
hībernōrum	hibernī	10.811315495928284
hibiscōrum	hibiscī	13.599609053286258
hibīcum	hibīcis	22.624481944483705
hibridārum	hibridae	10.462647918917355
hiemum	hiemis	15.494642582954839
hiemum	hiemis	18.726613275241107
hierācītidum	hieracitidis	21.47857769811526
hierarchiārum	hierarchiae	15.17869359641918
parcārum	parcae	10.467521251674043
hīlōrum	hilī	12.566949776373804
hīlōrum	hilī	15.615300305420533
parthōrum	parthī	9.862244895513868
hinnōrum	hinnī	10.554369880934246
hīnsidiārum	hinsidiae	12.372642436384922
hinulōrum	hinulī	10.397277091338765
hippeōrum	hippeī	10.131270957412198
hippocampōrum	hippocampī	14.714291242533363
hippodromōrum	hippodromī	22.542669471615227
hippophobadum	hippophobae	18.88446362450486
hippopotamōrum	hippopotamī	19.889126470923657
hippūrōrum	hippurī	12.734713949495926
hīrārum	hirae	13.504233797546476
hircōrum	hircī	13.453881671419367
hirneārum	hirneae	9.70477567682974
hirūdinum	hirūdinis	19.416434020735323
hirundinum	hirundinis	20.012499889126047
historiārum	historiae	10.742806682130322
historicitātum	historicitātis	16.650982494276832
histriōnum	histriōnis	15.49684360941501
histrīcum	histrīcis	17.31597561485796
hoedōrum	hoedī	14.703805529046804
holmiōrum	holmiī	8.259080130024813
holocaustōmatum	holocaustomata	17.040397841046797
holocaustosum	holocaustōs	29.135322471294785
holocaustōrum	holocaustī	20.022972493359703
holocautōmatum	holocautomata	16.73970202705823
holerum	holī	14.983187549980357
homicīdārum	homicīdae	11.943035435295315
homicīdiōrum	homicīdiī	13.194061576359672
homīliārum	homiliae	14.37413347652182
homoeoteleutōrum	homoeoteleutī	14.718570174416527
homogeniārum	homogeniae	13.309279182285536
homullōrum	homullī	8.790991206537
homunciōnum	homunciōnis	14.225162594113499
homunculōrum	homunculī	9.112614801386371
honestātum	honestātis	22.282500073419214
honōrificābilitūdinitātum	honorificabilitinitinitinitin	34.1760355499282
honōrificentiārum	honorificentiae	19.424109290586784
honōrum	honī	16.528032906353474
hoplomachōrum	hoplomachī	15.667498387774685
hōrīs	horae	7.333008959540166
hordeōrum	hordeī	12.703119810088538
horizontum	horizontis	13.985641145147383
horreōrum	horreī	12.479504780494608
horripilātiōnum	horripilātiōnis	19.89018689871591
horrōrum	horrōris	14.01603417953902
hortātiōnum	hortātiōnis	18.360336748832196
hortātōrum	hortātōris	16.535427070586593
hortulānōrum	hortulanī	12.43139555916423
hortulōrum	hortulī	8.572905371023808
hospiciōrum	hospiciī	8.96166565013118
hospitālium	hospitalis	16.569957330619218
hospiticīdārum	hospiticīdae	13.55427168845199
hostiārum	hostiae	11.516696364589734
hostīlitātum	hostilitātis	16.31500030418829
hostium	hostis	21.169313173071714
hūmānitātum	humanitātis	20.165605893613247
humerālium	humeralis	14.370440909042372
humerōrum	humerī	13.21706968676881
humiditātum	humiditātis	14.90959504336206
humiliātiōnum	humiliātiōnis	16.335135349843767
humilitātum	humilitātis	15.12842984515737
hūmōrum	humōris	15.065231669625064
pīsīdārum	pisidae	12.431218387879198
humōrum	humī	15.819664848037064
hyacinthōrum	hyacinthī	10.820466917997692
hyaenārum	hyaenae	9.650859570363536
hyalōrum	hyalī	11.042815262684599
hybridārum	hybridae	10.319446361798327
hydrārum	hydrae	8.489320002190652
hydrargyrōrum	hydrargyrī	16.683411310921656
hydraulōrum	hydraulī	8.364507145277457
hydriārum	hydriae	10.047684320859844
hydrodendrum	hydrodendrī	15.169556014880072
hydrogenōrum	hydrogenī	10.849520161485998
hydromelitum	hydromelis	20.460209481374477
hydromelitum	hydromelis	22.45751922458294
hydrōpismōrum	hydropismī	18.97534200001246
hyemum	hyemis	20.539818122051656
hȳlārum	hylis	27.164166351314634
hymenaeōrum	hymenaeī	12.973786955350079
hymnōrum	hymnī	9.266139625571668
hyperbolārum	hyperbolis	29.338249613298103
hypocaustōrum	hypocaustī	17.341401431709528
hypocaustōrum	hypocaustī	20.415197994210757
hypocrisium	hypocrisis	21.637288912024815
hypocritārum	hypocritae	16.7027792109875
hypogaeōrum	hypogaeī	13.735208289697766
hypotauriōrum	hypotauriī	13.568109224317595
hypothēcārum	hypothēcae	17.269215776352212
hypothesium	hypothēsis	22.420050313696265
hȳsōpōrum	hysopī	19.436525414464995
