Correct Form	Predicted Form	Surprisal
gravēdinis	gravedine	19.950191505078692
gravidae	gravidam	5.430706567472953
gravitātis	gravitāte	16.13382086342608
gravitātiōnis	gravitātiōnem	19.917429742867625
gravitūdinis	gravitūdinem	19.38229079593293
gremiī	gremium	9.594778270511597
gregis	grex	18.907866764609935
naepōris	naepōre	14.21589475107612
grōmae	groma	7.42662309872685
grossitūdinis	grossitūdinem	19.50771427872678
grūmulī	grumulō	11.171742814825848
grūmī	grumum	14.28642873984063
gruis	grum	12.650468164938502
gryllī	gryllum	9.049086857470684
grȳphī	gryphum	15.839265966729727
grypis	grype	7.395561052944686
gubernāculī	gubernāculum	10.471766752089025
gubernātiōnis	gubernātiōnem	20.38557281698195
gubernātrīcis	gubernātrīcem	19.578022089544902
gulae	gulam	6.090994258178398
gurdī	gurdum	10.250153623905135
gurgitis	gurge	12.799818669771412
gurguliōnis	gurguliōnem	17.175908799554236
gurgustiī	gurgustium	14.242743731238079
gurūs	gurum	10.575170766538577
gustātiōnis	gustātiōnem	17.753595628732
guttae	guttā	5.549455710221082
guttulae	guttulam	5.122374774742639
gutturis	guttur	16.782155027700355
guttī	guttum	10.01290305328439
gutī	gutum	9.736190968193114
gymnadis	gymnade	14.405368859581358
gymnasiarchī	gymnasiārchō	15.038355112992576
gymnasiī	gymnasium	10.353540608120966
gynaecēī	gynaeceum	18.925054576378898
gynaecīī	gynaecium	11.877890015675803
gȳrātiōnis	gyrātiōnem	17.852605291831424
gȳrī	gyrum	10.805842699614004
habēnae	habēnam	6.384052923502168
habēnulae	habēnulam	7.428353049283032
habitāculī	habitāculum	10.99095867908909
habitātiōnis	habitātiōnem	18.72460139321447
habitātiunculae	habitātiuncula	5.691820670059315
habitātōris	habitātōrem	17.70244318737059
habitātrīcis	habitātrīcem	19.94410183832224
habitiōnis	habitiōnem	14.639355419989442
habitūdinis	habitūdinem	18.16681503363361
habrotonī	habrotonum	12.781780138864633
haecceitātis	haecceitāte	17.161006849142723
haedillī	haedillum	9.951137324529554
haedulī	haedulum	8.753391669044504
haedī	haedum	10.551362043392146
haematītae	haematitē	11.277628421281406
haemēsis	haemesem	6.199054230908587
haerēditātis	haereditāte	18.97858032459044
haerēdis	haerēs	14.085304350272054
haereseī	haereseum	15.132603819045471
haeresis	haerese	6.120140086015454
