Correct Form	Predicted Form	Surprisal
gravēdinēs	grāvēdōnēs	4.165092454582918
gravidae	grāvidae	1.5665318398241652
gravitātēs	grāvitātēs	1.2548327048134524
gravitātiōnēs	grāvitātiō	5.896187005622778
gravitūdinēs	grāvitūdō	3.0287788660207298
gremia	gremia	0.7950642352225259
gregēs	grex	4.017321257502772
naepōrēs	naepōrēs	1.1361935422028182
grōmae	grōma	5.269291058299132
grossitūdinēs	grōssitūdō	3.8568717738671694
grūmulī	grūmulus	5.491390518000117
grūmī	grūmus	2.938678864389658
gruēs	grus	6.280347500229254
gryllī	gryllōs	1.753573342692107
grȳphī	gryphī	4.642212846134498
grypēs	gryps	2.84387805510778
gubernācula	gubernāculum	5.091997117706342
gubernātiōnēs	gubernātiō	2.022528967623657
gubernātrīcēs	gubernātrīx	2.942786348212394
gulae	gulae	1.0240743086324073
gurdī	gurdōs	2.376727827358991
gurgitēs	gurgēs	3.316375291426084
gurguliōnēs	gurguliō	2.866188965374022
gurgustia	gurgustia	0.39739416709926445
gurūs	gurus	4.903962554701138
gustātiōnēs	gustātiōnēs	1.1985776459441695
guttae	guttae	0.7749275034875609
guttulae	guttulae	0.5332744646584615
guttura	guttur	2.994308080582414
guttī	guttus	6.140636530821212
gutī	gutus	5.953699582314584
gymnadēs	gymnadēs	1.9030669242492877
gymnasiarchī	gymnasiarchus	4.140025592536404
gymnasia	gymnasium	2.1986668882891536
gynaecēa	gynaeceum	2.7448083103099634
gynaecīa	gynaecia	2.7083781134733727
gȳrātiōnēs	gyrātiō	2.8973722885275492
gȳrī	gyrus	3.9978930332581513
habēnae	habenae	2.6873898622288834
habēnulae	habenula	4.299419381539337
habitācula	habitāculum	6.364455990784336
habitātiōnēs	habitātiō	5.878067140942221
habitātiunculae	habitātiuncula	5.282193743687458
habitātōrēs	habitātor	2.367524475821483
habitātrīcēs	habitātrīx	5.92902116150799
habitiōnēs	habitiō	2.534320086473599
habitūdinēs	habitūdō	3.779739977529971
habrotona	habrotonum	2.8648058899270836
haecceitātēs	haecceitātēs	0.525100219383603
haedillī	haedillus	7.261067717105107
haedulī	haedulus	5.415994619746925
haedī	haedus	3.3218820038891863
haematītae	haematitēs	12.195292906602845
