Correct Form	Predicted Form	Surprisal
gravēdinēs	gravedinēs	4.258557799752452
gravidae	gravidās	4.397017794472049
gravitātēs	gravitātēs	0.528921026038006
gravitātiōnēs	gravitātiōnēs	0.5740795509736927
gravitūdinēs	gravitūdinēs	0.5952934833767358
gremia	gremia	0.32121430768893333
gregēs	grex	3.3399682550589205
naepōrēs	naepōrēs	1.2871086465020198
grōmae	gromata	7.490798733400879
grossitūdinēs	grossitūdinēs	1.0218937448589713
grūmulī	grūmulōs	2.897483291773824
grūmī	grūmōs	2.5449352553405333
gruēs	grūs	10.290674822230358
gryllī	gryllōs	1.7838503906386904
grȳphī	gryphōs	4.397188102870132
grypēs	grypēs	1.0102489448036067
gubernācula	gubernācula	0.7536627468653023
gubernātiōnēs	gubernātiōnēs	0.7672513373363472
gubernātrīcēs	gubernātrīcēs	0.865322386380285
gulae	gulās	3.2505212103715166
gurdī	gurdōs	2.493890426500002
gurgitēs	gurgēs	2.541160364606185
gurguliōnēs	gurguliōnēs	0.4811031114331854
gurgustia	gurgustia	0.6727760093344841
gurūs	gurī	3.9248666351195425
gustātiōnēs	gustātiōnēs	0.6130576541436312
guttae	guttās	3.22259619506076
guttulae	guttulās	2.73368434648728
guttura	guttura	1.9058361706556752
guttī	guttūs	4.266059698304161
gutī	gutora	3.129927509929985
gymnadēs	gymnadēs	1.3398182853707112
gymnasiarchī	gymnasiarchōs	3.6007315455735807
gymnasia	gymnasia	0.5886636165087111
gynaecēa	gynaecea	4.354715293127811
gynaecīa	gynaecia	7.25006278368528
gȳrātiōnēs	gyrātiōnēs	3.1806491525421734
gȳrī	gyrī	4.081280247570248
habēnae	habenās	6.0872430297749816
habēnulae	habenulās	6.39228952783742
habitācula	habitācula	0.6823888195940526
habitātiōnēs	habitātiōnēs	0.3363479387026018
habitātiunculae	habitātiunculae	1.4653097063637688
habitātōrēs	habitātōrēs	0.21364939999693888
habitātrīcēs	habitātrīcēs	0.3218937452111277
habitiōnēs	habitiōnēs	0.18704723858172656
habitūdinēs	habitūdinēs	0.22572851123550208
habrotona	habrotona	1.719518220408645
haecceitātēs	haecceitātēs	0.34520636608067434
haedillī	haedillōs	3.0648504592099926
haedulī	haedulōs	2.088083782407921
