Correct Form	Predicted Form	Surprisal
gravēdō	gravēdinēs	9.592662654788
gravida	gravidae	0.9152500664931722
gravitās	gravitātēs	9.984420848631999
gravitātiō	gravitātiōnēs	0.8930388678636518
gravitūdō	gravitūdinēs	12.37203355555539
gremium	gremia	5.703355777441175
grex	gricēs	10.844324138008233
naepor	naepōrēs	2.3557235890766606
grōma	grōmata	0.5303805364892469
grossitūdō	grōssitūdinēs	13.470123399099975
grūmule	grūmulī	13.760996124503436
grūme	grūmī	8.456621663768601
grūs	grī	4.1517920740443515
grylle	gryllī	11.498883898806525
grȳphe	gryphī	13.284944504317536
gryps	grypēs	6.141578010145167
gubernāculum	gubernācula	3.9002669986803085
gubernātiō	gubernātiōnēs	0.5617352580447914
gubernātrīx	gubernātrīcēs	11.778841577630374
gula	gulae	0.21449930226663128
gurde	gurdī	8.993794649257325
gurges	gurgitēs	8.348363049153704
gurguliō	gurguliōnis	0.28981735388515517
gurgustium	gurgustium	1.4732768054236658
gurus	gurī	3.787757554440759
gustātiō	gustātiōnēs	0.2815834460488986
gutta	guttae	0.28286667412612587
guttula	guttulae	0.2853354182152543
guttur	guttūrēs	2.231627966335509
gutte	guttūs	11.213611853308976
gute	gutūs	7.9557032558950596
gymnas	gymnadēs	8.500389765307773
gymnasiarche	gymnasiārchī	16.63547687511891
gymnasium	gymnasiī	5.635996781929862
gynaecēum	gynaeceī	7.812222650041804
gynaecīum	gynaecia	8.114924638532102
gȳrātiō	gyrātiōnēs	2.8853272411506623
gȳre	gyrī	12.300087314099073
habēna	habēnae	0.795106880235835
habēnula	habēnulae	0.8458327714761253
habitāculum	habitācula	4.432832876671455
habitātiō	habitātiōnēs	0.4321638169421931
habitātiuncula	habitātiunculae	1.1100143562362064
habitātor	habitātōrēs	6.760745255262009
habitātrīx	habitātrīcēs	11.239124448315124
habitiō	habitiōnēs	0.4358813394064782
habitūdō	habitūdinēs	11.585262291991967
habrotonum	habrōtona	9.371289930611965
haecceitās	haecceitātēs	7.251752621261403
haedille	haedillī	12.876896597008454
haedule	haedulī	10.981497429005685
haede	haedī	8.169566155760549
haematītē	haematītēs	1.8248244338901713
haemēsis	haemesidēs	5.855224239465315
haerēditās	haeredītātēs	15.174873728305101
haerēs	haerēs	1.1772409377153963
haeresee	haereseī	13.957529088918818
haeresis	haeresidēs	3.528499864973128
haesitantia	haesitāntiae	4.902893275982933
haesitātiō	haesitātiōnēs	0.782721969018894
hafnium	hafniī	5.824879358377075
hagiographe	hagiographī	16.69228725152061
haima	haimata	0.19345901982160285
nomas	nomadēs	7.479904606123455
halcyōn	halcyī	4.427355043197167
halebarda	halebardae	1.2106117769144475
halipleumon	halipleuminēs	4.724525394907687
hālitus	halitūs	10.421090353731415
hallebarda	hallebardae	1.195658111872035
halle	hallī	10.225255626588478
hama	hamata	0.12045010132715106
hamaxostiche	hamaxostīchī	17.804317634159815
hāmiōta	hamiotae	5.372168444970157
hammītis	hammitidēs	7.371805894756108
numida	nūmidae	1.842094085761346
hāme	hamī	11.461089616830577
hara	harae	0.11940283796866424
harēna	harēnae	0.5890245095652062
harēnāria	harēnāriae	0.818929532149923
harēnārium	harēnāriī	3.48313691491785
harēnifodīna	harēnififīfīdīnae	45.03369156358531
hariola	hariolae	0.8143550855165813
hariole	hariolī	11.395599149996997
harmonia	harmōniae	1.4297785923699848
harpagō	harpaginēs	5.074505314027192
harpastum	harpasta	6.394441482290858
harpē	harpēs	1.755462987581268
harundinētum	harundinētī	5.214618010155391
harundō	harundinis	6.408541466662427
haruspex	haruspicēs	9.23739189869957
haruspicium	haruspīciī	6.93213538058626
hassium	hassiī	4.947515292529715
hastā	hastae	11.300212467234815
hastīle	hastīlia	6.019286838854896
haustor	haustōris	4.0890569333860185
haustrum	haustra	2.640383435835247
hebdomada	hebdomadae	1.0888748011057032
hebdomadārī	hebdomadāriī	6.070186131284572
hebdomas	hebdomadēs	6.455902375819278
hebene	hebenī	9.331486882656463
hebetātiō	hebētātiōnēs	2.727858646394452
hebetūdō	hebētūdinēs	14.371395481022773
hecatombē	hecātōmbēs	7.593427855237678
hedera	hederae	1.0338054111343808
hede	hedī	6.032710478408262
helcium	helciī	4.567725862303632
hēliotropium	heliotropiī	7.037725225367467
hellebarda	hellebardae	1.8908959064428927
helluātiō	helluātiōnēs	0.7055981940648053
helluō	helluōnēs	1.552454433622188
helops	helōptēs	5.891444272216177
hēmīna	heminae	4.684962176121189
hēmisphaerium	hemisphaeriī	5.927995515332441
hēmistichium	hemistichia	4.945425715006422
hemō	hemōnēs	0.7796615655679489
hendecasyllabe	hendecasyllabī	13.889308798636193
hēpatītē	hepatītae	5.075740662403405
hēphaestītis	hephaestītididididididididi	7.375302167376503
hera	herae	0.5662780107231811
herbārie	herbariī	15.531383210385684
hērēditās	herēditātēs	12.495815795540693
hērēs	herētēs	3.267499380890513
heresis	herēsēs	5.524313208850799
hernia	herniae	1.205626540526282
herōdie	herōdiī	13.35757610181463
heterogenia	heterogeniae	1.4980393441946944
hexagōnum	hexagōna	7.946501095953863
hexameter1	hexametērī	24.673265367062413
hexas	hexadēs	7.0008074374636635
hiātus	hiatūs	6.302116854203632
hībernāculum	hibernācula	6.973603616366745
hībernum	hiberna	9.965866111771902
hibiscum	hibisca	5.1402583572489675
hibīx	hibicēs	13.797724729141919
hibrida	hibridae	1.0305386139953043
hiemps	hiempēs	5.485994541755645
hiems	hiem	4.077600541437278
hierācītis	hieracitidēs	8.254368625435745
hierarchia	hierarchīae	2.0841958292294294
parca	parcae	0.15240158408414572
hīlum	hilī	6.849450307985535
hīle	hilī	10.6949705673469
parthe	parthī	11.940067797520896
hinne	hinnī	8.44420135418477
hīnsidia	hinsidiae	3.5606978096911917
hinule	hinulī	10.573735257057706
hippee	hippeī	12.756057770748157
hippocampe	hippocampī	14.399040996388067
hippodrome	hippodromī	10.099875474683358
hippophobas	hippophobas	1.927733456450369
